# Alpha Energy Loss | 96% He + 4% CO2 @ 250 Torr
# Density: 7.660749e-05 g/cm3
# E_total(MeV) 	dE/dx(MeV/cm) 	Range(cm)
2.006052e-01	1.383778e-01	2.186560e+00
2.062483e-01	1.399877e-01	2.227104e+00
2.120501e-01	1.416105e-01	2.268310e+00
2.180152e-01	1.432457e-01	2.310191e+00
2.241480e-01	1.448927e-01	2.352759e+00
2.304534e-01	1.465509e-01	2.396029e+00
2.369362e-01	1.482198e-01	2.440013e+00
2.436013e-01	1.498984e-01	2.484728e+00
2.504539e-01	1.515859e-01	2.530186e+00
2.574992e-01	1.532815e-01	2.576405e+00
2.647428e-01	1.549839e-01	2.623400e+00
2.721901e-01	1.566921e-01	2.671188e+00
2.798469e-01	1.584046e-01	2.719787e+00
2.877191e-01	1.601202e-01	2.769215e+00
2.958128e-01	1.618373e-01	2.819493e+00
3.041341e-01	1.635541e-01	2.870638e+00
3.126895e-01	1.652689e-01	2.922674e+00
3.214856e-01	1.669797e-01	2.975622e+00
3.305291e-01	1.686844e-01	3.029505e+00
3.398270e-01	1.703807e-01	3.084348e+00
3.493864e-01	1.720663e-01	3.140178e+00
3.592148e-01	1.737385e-01	3.197020e+00
3.693197e-01	1.753948e-01	3.254904e+00
3.797088e-01	1.770322e-01	3.313860e+00
3.903901e-01	1.786477e-01	3.373920e+00
4.013719e-01	1.802381e-01	3.435118e+00
4.126627e-01	1.818002e-01	3.497489e+00
4.242710e-01	1.833306e-01	3.561072e+00
4.362060e-01	1.848257e-01	3.625906e+00
4.484766e-01	1.862817e-01	3.692034e+00
4.610924e-01	1.876951e-01	3.759500e+00
4.740631e-01	1.890617e-01	3.828353e+00
4.873987e-01	1.903778e-01	3.898641e+00
5.011094e-01	1.916393e-01	3.970419e+00
5.152058e-01	1.928421e-01	4.043743e+00
5.296987e-01	1.939822e-01	4.118673e+00
5.445994e-01	1.950555e-01	4.195273e+00
5.599192e-01	1.960580e-01	4.273609e+00
5.756699e-01	1.969855e-01	4.353753e+00
5.918637e-01	1.978343e-01	4.435781e+00
6.085131e-01	1.986005e-01	4.519773e+00
6.256308e-01	1.992803e-01	4.605813e+00
6.432300e-01	1.998703e-01	4.693993e+00
6.613243e-01	2.003670e-01	4.784407e+00
6.799276e-01	2.007674e-01	4.877156e+00
6.990542e-01	2.010685e-01	4.972348e+00
7.187189e-01	2.012678e-01	5.070096e+00
7.389367e-01	2.013629e-01	5.170520e+00
7.597233e-01	2.013518e-01	5.273748e+00
7.810946e-01	2.012329e-01	5.379913e+00
8.030671e-01	2.010048e-01	5.489160e+00
8.256577e-01	2.006667e-01	5.601638e+00
8.488837e-01	2.002180e-01	5.717508e+00
8.727632e-01	1.996587e-01	5.836937e+00
8.973143e-01	1.989890e-01	5.960105e+00
9.225561e-01	1.982096e-01	6.087199e+00
9.485080e-01	1.973219e-01	6.218420e+00
9.751899e-01	1.963272e-01	6.353978e+00
1.002622e+00	1.952275e-01	6.494094e+00
1.030826e+00	1.940253e-01	6.639005e+00
1.059824e+00	1.927232e-01	6.788957e+00
1.089637e+00	1.913244e-01	6.944212e+00
1.120289e+00	1.898324e-01	7.105045e+00
1.151803e+00	1.882507e-01	7.271748e+00
1.184204e+00	1.865836e-01	7.444627e+00
