# Energy(MeV)	mg/cm2	cm
6.000000	0.000000	0.000000
5.999924	0.001000	0.013054
5.999848	0.002000	0.026107
5.999771	0.003000	0.039161
5.999695	0.004000	0.052214
5.999619	0.005000	0.065268
5.999543	0.006000	0.078321
5.999467	0.007000	0.091375
5.999391	0.008000	0.104429
5.999314	0.009000	0.117482
5.999238	0.010000	0.130536
5.999162	0.011000	0.143589
5.999086	0.012000	0.156643
5.999010	0.013000	0.169696
5.998934	0.014000	0.182750
5.998857	0.015000	0.195803
5.998781	0.016000	0.208857
5.998705	0.017000	0.221911
5.998629	0.018000	0.234964
5.998553	0.019000	0.248018
5.998476	0.020000	0.261071
5.998400	0.021000	0.274125
5.998324	0.022000	0.287178
5.998248	0.023000	0.300232
5.998172	0.024000	0.313286
5.998095	0.025000	0.326339
5.998019	0.026000	0.339393
5.997943	0.027000	0.352446
5.997867	0.028000	0.365500
5.997791	0.029000	0.378553
5.997715	0.030000	0.391607
5.997638	0.031000	0.404660
5.997562	0.032000	0.417714
5.997486	0.033000	0.430768
5.997410	0.034000	0.443821
5.997334	0.035000	0.456875
5.997257	0.036000	0.469928
5.997181	0.037000	0.482982
5.997105	0.038000	0.496035
5.997029	0.039000	0.509089
5.996953	0.040000	0.522143
5.996876	0.041000	0.535196
5.996800	0.042000	0.548250
5.996724	0.043000	0.561303
5.996648	0.044000	0.574357
5.996572	0.045000	0.587410
5.996495	0.046000	0.600464
5.996419	0.047000	0.613517
5.996343	0.048000	0.626571
5.996267	0.049000	0.639625
5.996190	0.050000	0.652678
5.996114	0.051000	0.665732
5.996038	0.052000	0.678785
5.995962	0.053000	0.691839
5.995886	0.054000	0.704892
5.995809	0.055000	0.717946
5.995733	0.056000	0.731000
5.995657	0.057000	0.744053
5.995581	0.058000	0.757107
5.995505	0.059000	0.770160
5.995428	0.060000	0.783214
5.995352	0.061000	0.796267
5.995276	0.062000	0.809321
5.995200	0.063000	0.822374
5.995123	0.064000	0.835428
5.995047	0.065000	0.848482
5.994971	0.066000	0.861535
5.994895	0.067000	0.874589
5.994819	0.068000	0.887642
5.994742	0.069000	0.900696
5.994666	0.070000	0.913749
5.994590	0.071000	0.926803
5.994514	0.072000	0.939857
5.994437	0.073000	0.952910
5.994361	0.074000	0.965964
5.994285	0.075000	0.979017
5.994209	0.076000	0.992071
5.994132	0.077000	1.005124
5.994056	0.078000	1.018178
5.993980	0.079000	1.031231
5.993904	0.080000	1.044285
5.993828	0.081000	1.057339
5.993751	0.082000	1.070392
5.993675	0.083000	1.083446
5.993599	0.084000	1.096499
5.993523	0.085000	1.109553
5.993446	0.086000	1.122606
5.993370	0.087000	1.135660
5.993294	0.088000	1.148714
5.993218	0.089000	1.161767
5.993141	0.090000	1.174821
5.993065	0.091000	1.187874
5.992989	0.092000	1.200928
5.992913	0.093000	1.213981
5.992836	0.094000	1.227035
5.992760	0.095000	1.240088
5.992684	0.096000	1.253142
5.992608	0.097000	1.266196
5.992531	0.098000	1.279249
5.992455	0.099000	1.292303
5.992379	0.100000	1.305356
5.992303	0.101000	1.318410
5.992226	0.102000	1.331463
5.992150	0.103000	1.344517
5.992074	0.104000	1.357571
5.991998	0.105000	1.370624
5.991921	0.106000	1.383678
5.991845	0.107000	1.396731
5.991769	0.108000	1.409785
5.991693	0.109000	1.422838
5.991616	0.110000	1.435892
5.991540	0.111000	1.448945
5.991464	0.112000	1.461999
5.991388	0.113000	1.475053
5.991311	0.114000	1.488106
5.991235	0.115000	1.501160
5.991159	0.116000	1.514213
5.991083	0.117000	1.527267
5.991006	0.118000	1.540320
5.990930	0.119000	1.553374
5.990854	0.120000	1.566428
5.990777	0.121000	1.579481
5.990701	0.122000	1.592535
5.990625	0.123000	1.605588
5.990549	0.124000	1.618642
5.990472	0.125000	1.631695
5.990396	0.126000	1.644749
5.990320	0.127000	1.657802
5.990244	0.128000	1.670856
5.990167	0.129000	1.683910
5.990091	0.130000	1.696963
5.990015	0.131000	1.710017
5.989938	0.132000	1.723070
5.989862	0.133000	1.736124
5.989786	0.134000	1.749177
5.989710	0.135000	1.762231
5.989633	0.136000	1.775285
5.989557	0.137000	1.788338
5.989481	0.138000	1.801392
5.989405	0.139000	1.814445
5.989328	0.140000	1.827499
5.989252	0.141000	1.840552
5.989176	0.142000	1.853606
5.989099	0.143000	1.866659
5.989023	0.144000	1.879713
5.988947	0.145000	1.892767
5.988871	0.146000	1.905820
5.988794	0.147000	1.918874
5.988718	0.148000	1.931927
5.988642	0.149000	1.944981
5.988565	0.150000	1.958034
5.988489	0.151000	1.971088
5.988413	0.152000	1.984142
5.988336	0.153000	1.997195
5.988260	0.154000	2.010249
5.988184	0.155000	2.023302
5.988108	0.156000	2.036356
5.988031	0.157000	2.049409
5.987955	0.158000	2.062463
5.987879	0.159000	2.075516
5.987802	0.160000	2.088570
5.987726	0.161000	2.101624
5.987650	0.162000	2.114677
5.987573	0.163000	2.127731
5.987497	0.164000	2.140784
5.987421	0.165000	2.153838
5.987345	0.166000	2.166891
5.987268	0.167000	2.179945
5.987192	0.168000	2.192999
5.987116	0.169000	2.206052
5.987039	0.170000	2.219106
5.986963	0.171000	2.232159
5.986887	0.172000	2.245213
5.986810	0.173000	2.258266
