# Proton Energy Loss | 96% He + 4% CO2 @ 250 Torr
# Density: 7.660749e-05 g/cm3
# E_total(MeV) 	dE/dx(MeV/cm) 	Range(cm)
5.050965e-02	5.849786e-02	1.113037e+00
5.193051e-02	5.892181e-02	1.137238e+00
5.339133e-02	5.934106e-02	1.161942e+00
5.489325e-02	5.975510e-02	1.187164e+00
5.643742e-02	6.016342e-02	1.212917e+00
5.802502e-02	6.056548e-02	1.239217e+00
5.965729e-02	6.096073e-02	1.266079e+00
6.133547e-02	6.134858e-02	1.293520e+00
6.306086e-02	6.172843e-02	1.321557e+00
6.483479e-02	6.209967e-02	1.350207e+00
6.665861e-02	6.246165e-02	1.379491e+00
6.853375e-02	6.281371e-02	1.409426e+00
7.046163e-02	6.315518e-02	1.440034e+00
7.244374e-02	6.348535e-02	1.471337e+00
7.448161e-02	6.380351e-02	1.503355e+00
7.657681e-02	6.410892e-02	1.536114e+00
7.873094e-02	6.440086e-02	1.569638e+00
8.094567e-02	6.467854e-02	1.603953e+00
8.322270e-02	6.494121e-02	1.639086e+00
8.556379e-02	6.518808e-02	1.675066e+00
8.797073e-02	6.541837e-02	1.711923e+00
9.044538e-02	6.563127e-02	1.749689e+00
9.298965e-02	6.582601e-02	1.788396e+00
9.560548e-02	6.600177e-02	1.828080e+00
9.829490e-02	6.615778e-02	1.868779e+00
1.010600e-01	6.629324e-02	1.910530e+00
1.039028e-01	6.640738e-02	1.953375e+00
1.068257e-01	6.649945e-02	1.997356e+00
1.098307e-01	6.656871e-02	2.042520e+00
1.129203e-01	6.661443e-02	2.088915e+00
1.160968e-01	6.663593e-02	2.136590e+00
1.193626e-01	6.663255e-02	2.185600e+00
1.227203e-01	6.660368e-02	2.236001e+00
1.261725e-01	6.654872e-02	2.287853e+00
1.297218e-01	6.646715e-02	2.341217e+00
1.333709e-01	6.635850e-02	2.396162e+00
1.371227e-01	6.622232e-02	2.452756e+00
1.409800e-01	6.605826e-02	2.511074e+00
1.449458e-01	6.586601e-02	2.571195e+00
1.490232e-01	6.564536e-02	2.633202e+00
1.532153e-01	6.539613e-02	2.697181e+00
1.575253e-01	6.511827e-02	2.763226e+00
1.619565e-01	6.481176e-02	2.831434e+00
1.665124e-01	6.447669e-02	2.901909e+00
1.711965e-01	6.411324e-02	2.974760e+00
1.760123e-01	6.372167e-02	3.050103e+00
1.809636e-01	6.330234e-02	3.128060e+00
1.860542e-01	6.285567e-02	3.208760e+00
1.912879e-01	6.238220e-02	3.292341e+00
1.966690e-01	6.188256e-02	3.378945e+00
2.022013e-01	6.135745e-02	3.468726e+00
2.078893e-01	6.080766e-02	3.561846e+00
2.137373e-01	6.023407e-02	3.658473e+00
2.197498e-01	5.963763e-02	3.758789e+00
2.259315e-01	5.901936e-02	3.862983e+00
2.322870e-01	5.838038e-02	3.971256e+00
2.388214e-01	5.772182e-02	4.083818e+00
2.455395e-01	5.704492e-02	4.200894e+00
2.524466e-01	5.635092e-02	4.322720e+00
2.595480e-01	5.564115e-02	4.449542e+00
2.668492e-01	5.491694e-02	4.581624e+00
2.743558e-01	5.417965e-02	4.719241e+00
2.820735e-01	5.343068e-02	4.862684e+00
2.900083e-01	5.267143e-02	5.012259e+00
2.981664e-01	5.190328e-02	5.168289e+00
3.065539e-01	5.112763e-02	5.331111e+00
3.151774e-01	5.034586e-02	5.501084e+00
3.240435e-01	4.955933e-02	5.678583e+00
3.331589e-01	4.876936e-02	5.864001e+00
3.425308e-01	4.797724e-02	6.057753e+00
3.521663e-01	4.718423e-02	6.260274e+00
