# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 20 MeV
20.000000	0.000000	0.000000
19.999646	0.001000	0.013054
19.999292	0.002000	0.026107
19.998937	0.003000	0.039161
19.998583	0.004000	0.052214
19.998229	0.005000	0.065268
19.997875	0.006000	0.078321
19.997521	0.007000	0.091375
19.997166	0.008000	0.104429
19.996812	0.009000	0.117482
19.996458	0.010000	0.130536
19.996104	0.011000	0.143589
19.995749	0.012000	0.156643
19.995395	0.013000	0.169696
19.995041	0.014000	0.182750
19.994687	0.015000	0.195803
19.994332	0.016000	0.208857
19.993978	0.017000	0.221911
19.993624	0.018000	0.234964
19.993269	0.019000	0.248018
19.992915	0.020000	0.261071
19.992561	0.021000	0.274125
19.992206	0.022000	0.287178
19.991852	0.023000	0.300232
19.991498	0.024000	0.313286
19.991144	0.025000	0.326339
19.990789	0.026000	0.339393
19.990435	0.027000	0.352446
19.990081	0.028000	0.365500
19.989726	0.029000	0.378553
19.989372	0.030000	0.391607
19.989017	0.031000	0.404660
19.988663	0.032000	0.417714
19.988309	0.033000	0.430768
19.987954	0.034000	0.443821
19.987600	0.035000	0.456875
19.987246	0.036000	0.469928
19.986891	0.037000	0.482982
19.986537	0.038000	0.496035
19.986182	0.039000	0.509089
19.985828	0.040000	0.522143
19.985474	0.041000	0.535196
19.985119	0.042000	0.548250
19.984765	0.043000	0.561303
19.984410	0.044000	0.574357
19.984056	0.045000	0.587410
19.983702	0.046000	0.600464
19.983347	0.047000	0.613517
19.982993	0.048000	0.626571
19.982638	0.049000	0.639625
19.982284	0.050000	0.652678
19.981929	0.051000	0.665732
19.981575	0.052000	0.678785
19.981220	0.053000	0.691839
19.980866	0.054000	0.704892
19.980511	0.055000	0.717946
19.980157	0.056000	0.731000
19.979802	0.057000	0.744053
19.979448	0.058000	0.757107
19.979093	0.059000	0.770160
19.978739	0.060000	0.783214
19.978384	0.061000	0.796267
19.978030	0.062000	0.809321
19.977675	0.063000	0.822374
19.977321	0.064000	0.835428
19.976966	0.065000	0.848482
19.976612	0.066000	0.861535
19.976257	0.067000	0.874589
19.975903	0.068000	0.887642
19.975548	0.069000	0.900696
19.975194	0.070000	0.913749
19.974839	0.071000	0.926803
19.974485	0.072000	0.939857
19.974130	0.073000	0.952910
19.973775	0.074000	0.965964
19.973421	0.075000	0.979017
19.973066	0.076000	0.992071
19.972712	0.077000	1.005124
19.972357	0.078000	1.018178
19.972002	0.079000	1.031231
19.971648	0.080000	1.044285
19.971293	0.081000	1.057339
19.970939	0.082000	1.070392
19.970584	0.083000	1.083446
19.970229	0.084000	1.096499
19.969875	0.085000	1.109553
