# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 20 MeV
20.000000	0.000000	0.000000
19.999646	0.001000	0.009324
19.999292	0.002000	0.018648
19.998937	0.003000	0.027972
19.998583	0.004000	0.037296
19.998229	0.005000	0.046620
19.997875	0.006000	0.055944
19.997521	0.007000	0.065268
19.997166	0.008000	0.074592
19.996812	0.009000	0.083916
19.996458	0.010000	0.093240
19.996104	0.011000	0.102564
19.995749	0.012000	0.111888
19.995395	0.013000	0.121212
19.995041	0.014000	0.130536
19.994687	0.015000	0.139860
19.994332	0.016000	0.149184
19.993978	0.017000	0.158508
19.993624	0.018000	0.167832
19.993269	0.019000	0.177155
19.992915	0.020000	0.186479
19.992561	0.021000	0.195803
19.992206	0.022000	0.205127
19.991852	0.023000	0.214451
19.991498	0.024000	0.223775
19.991144	0.025000	0.233099
19.990789	0.026000	0.242423
19.990435	0.027000	0.251747
19.990081	0.028000	0.261071
19.989726	0.029000	0.270395
19.989372	0.030000	0.279719
19.989017	0.031000	0.289043
19.988663	0.032000	0.298367
19.988309	0.033000	0.307691
19.987954	0.034000	0.317015
19.987600	0.035000	0.326339
19.987246	0.036000	0.335663
19.986891	0.037000	0.344987
19.986537	0.038000	0.354311
19.986182	0.039000	0.363635
19.985828	0.040000	0.372959
19.985474	0.041000	0.382283
19.985119	0.042000	0.391607
19.984765	0.043000	0.400931
19.984410	0.044000	0.410255
19.984056	0.045000	0.419579
19.983702	0.046000	0.428903
19.983347	0.047000	0.438227
19.982993	0.048000	0.447551
19.982638	0.049000	0.456875
19.982284	0.050000	0.466199
19.981929	0.051000	0.475523
19.981575	0.052000	0.484847
19.981220	0.053000	0.494171
19.980866	0.054000	0.503495
19.980511	0.055000	0.512819
19.980157	0.056000	0.522143
19.979802	0.057000	0.531466
19.979448	0.058000	0.540790
19.979093	0.059000	0.550114
19.978739	0.060000	0.559438
19.978384	0.061000	0.568762
19.978030	0.062000	0.578086
19.977675	0.063000	0.587410
19.977321	0.064000	0.596734
19.976966	0.065000	0.606058
19.976612	0.066000	0.615382
19.976257	0.067000	0.624706
19.975903	0.068000	0.634030
19.975548	0.069000	0.643354
19.975194	0.070000	0.652678
19.974839	0.071000	0.662002
19.974485	0.072000	0.671326
19.974130	0.073000	0.680650
19.973775	0.074000	0.689974
19.973421	0.075000	0.699298
19.973066	0.076000	0.708622
19.972712	0.077000	0.717946
19.972357	0.078000	0.727270
19.972002	0.079000	0.736594
19.971648	0.080000	0.745918
19.971293	0.081000	0.755242
19.970939	0.082000	0.764566
19.970584	0.083000	0.773890
19.970229	0.084000	0.783214
19.969875	0.085000	0.792538
19.969520	0.086000	0.801862
19.969165	0.087000	0.811186
19.968811	0.088000	0.820510
19.968456	0.089000	0.829834
19.968101	0.090000	0.839158
19.967747	0.091000	0.848482
19.967392	0.092000	0.857806
19.967037	0.093000	0.867130
19.966683	0.094000	0.876453
19.966328	0.095000	0.885777
19.965973	0.096000	0.895101
19.965619	0.097000	0.904425
19.965264	0.098000	0.913749
19.964909	0.099000	0.923073
19.964555	0.100000	0.932397
19.964200	0.101000	0.941721
19.963845	0.102000	0.951045
19.963490	0.103000	0.960369
19.963136	0.104000	0.969693
19.962781	0.105000	0.979017
19.962426	0.106000	0.988341
19.962071	0.107000	0.997665
19.961717	0.108000	1.006989
19.961362	0.109000	1.016313
19.961007	0.110000	1.025637
19.960652	0.111000	1.034961
19.960298	0.112000	1.044285
19.959943	0.113000	1.053609
19.959588	0.114000	1.062933
19.959233	0.115000	1.072257
19.958878	0.116000	1.081581
19.958524	0.117000	1.090905
19.958169	0.118000	1.100229
19.957814	0.119000	1.109553
19.957459	0.120000	1.118877
19.957104	0.121000	1.128201
19.956750	0.122000	1.137525
19.956395	0.123000	1.146849
19.956040	0.124000	1.156173
19.955685	0.125000	1.165497
19.955330	0.126000	1.174821
19.954975	0.127000	1.184145
19.954620	0.128000	1.193469
19.954266	0.129000	1.202793
19.953911	0.130000	1.212117
19.953556	0.131000	1.221441
19.953201	0.132000	1.230764
19.952846	0.133000	1.240088
19.952491	0.134000	1.249412
19.952136	0.135000	1.258736
19.951781	0.136000	1.268060
19.951426	0.137000	1.277384
19.951072	0.138000	1.286708
19.950717	0.139000	1.296032
19.950362	0.140000	1.305356
19.950007	0.141000	1.314680
19.949652	0.142000	1.324004
19.949297	0.143000	1.333328
19.948942	0.144000	1.342652
19.948587	0.145000	1.351976
19.948232	0.146000	1.361300
19.947877	0.147000	1.370624
19.947522	0.148000	1.379948
19.947167	0.149000	1.389272
19.946812	0.150000	1.398596
19.946457	0.151000	1.407920
19.946102	0.152000	1.417244
19.945747	0.153000	1.426568
19.945392	0.154000	1.435892
19.945037	0.155000	1.445216
19.944682	0.156000	1.454540
19.944327	0.157000	1.463864
19.943972	0.158000	1.473188
19.943617	0.159000	1.482512
19.943262	0.160000	1.491836
19.942907	0.161000	1.501160
19.942552	0.162000	1.510484
19.942197	0.163000	1.519808
19.941842	0.164000	1.529132
19.941487	0.165000	1.538456
19.941132	0.166000	1.547780
19.940777	0.167000	1.557104
19.940422	0.168000	1.566428
19.940067	0.169000	1.575751
19.939712	0.170000	1.585075
19.939357	0.171000	1.594399
19.939001	0.172000	1.603723
19.938646	0.173000	1.613047
19.938291	0.174000	1.622371
19.937936	0.175000	1.631695
19.937581	0.176000	1.641019
19.937226	0.177000	1.650343
19.936871	0.178000	1.659667
19.936516	0.179000	1.668991
19.936161	0.180000	1.678315
19.935805	0.181000	1.687639
19.935450	0.182000	1.696963
19.935095	0.183000	1.706287
19.934740	0.184000	1.715611
19.934385	0.185000	1.724935
19.934030	0.186000	1.734259
19.933674	0.187000	1.743583
19.933319	0.188000	1.752907
19.932964	0.189000	1.762231
19.932609	0.190000	1.771555
19.932254	0.191000	1.780879
19.931899	0.192000	1.790203
19.931543	0.193000	1.799527
19.931188	0.194000	1.808851
19.930833	0.195000	1.818175
19.930478	0.196000	1.827499
19.930122	0.197000	1.836823
19.929767	0.198000	1.846147
19.929412	0.199000	1.855471
19.929057	0.200000	1.864795
19.928702	0.201000	1.874119
19.928346	0.202000	1.883443
19.927991	0.203000	1.892767
19.927636	0.204000	1.902091
19.927281	0.205000	1.911415
19.926925	0.206000	1.920739
19.926570	0.207000	1.930062
19.926215	0.208000	1.939386
19.925859	0.209000	1.948710
19.925504	0.210000	1.958034
19.925149	0.211000	1.967358
19.924794	0.212000	1.976682
19.924438	0.213000	1.986006
19.924083	0.214000	1.995330
19.923728	0.215000	2.004654
19.923372	0.216000	2.013978
19.923017	0.217000	2.023302
19.922662	0.218000	2.032626
19.922306	0.219000	2.041950
19.921951	0.220000	2.051274
19.921596	0.221000	2.060598
19.921240	0.222000	2.069922
19.920885	0.223000	2.079246
19.920529	0.224000	2.088570
19.920174	0.225000	2.097894
19.919819	0.226000	2.107218
19.919463	0.227000	2.116542
19.919108	0.228000	2.125866
19.918753	0.229000	2.135190
19.918397	0.230000	2.144514
19.918042	0.231000	2.153838
19.917686	0.232000	2.163162
19.917331	0.233000	2.172486
