# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 50 MeV
50.000000	0.000000	0.000000
49.997127	0.018000	0.253025
49.994255	0.036000	0.506050
49.991382	0.054000	0.759074
49.988509	0.072000	1.012099
49.985635	0.090000	1.265124
49.982762	0.108000	1.518149
49.979888	0.126000	1.771174
49.977015	0.144000	2.024198
49.974141	0.162000	2.277223
49.971267	0.180000	2.530248
49.968393	0.198000	2.783273
49.965519	0.216000	3.036298
49.962644	0.234000	3.289323
49.959770	0.252000	3.542347
49.956895	0.270000	3.795372
49.954020	0.288000	4.048397
49.951145	0.306000	4.301422
49.948270	0.324000	4.554447
49.945395	0.342000	4.807471
49.942520	0.360000	5.060496
49.939644	0.378000	5.313521
49.936769	0.396000	5.566546
49.933893	0.414000	5.819571
49.931017	0.432000	6.072595
49.928141	0.450000	6.325620
49.925264	0.468000	6.578645
49.922388	0.486000	6.831670
49.919512	0.504000	7.084695
49.916635	0.522000	7.337720
49.913758	0.540000	7.590744
49.910881	0.558000	7.843769
49.908004	0.576000	8.096794
49.905127	0.594000	8.349819
49.902249	0.612000	8.602844
49.899372	0.630000	8.855868
49.896494	0.648000	9.108893
49.893616	0.666000	9.361918
49.890738	0.684000	9.614943
49.887860	0.702000	9.867968
49.884982	0.720000	10.120992
49.882103	0.738000	10.374017
49.879225	0.756000	10.627042
49.876346	0.774000	10.880067
49.873467	0.792000	11.133092
49.870588	0.810000	11.386116
49.867709	0.828000	11.639141
49.864830	0.846000	11.892166
49.861950	0.864000	12.145191
49.859071	0.882000	12.398216
49.856191	0.900000	12.651241
49.853311	0.918000	12.904265
49.850431	0.936000	13.157290
49.847551	0.954000	13.410315
49.844671	0.972000	13.663340
49.841790	0.990000	13.916365
49.838910	1.008000	14.169389
49.836029	1.026000	14.422414
49.833148	1.044000	14.675439
49.830267	1.062000	14.928464
49.827386	1.080000	15.181489
49.824504	1.098000	15.434513
49.821623	1.116000	15.687538
49.818741	1.134000	15.940563
49.815860	1.152000	16.193588
49.812978	1.170000	16.446613
49.810096	1.188000	16.699638
49.807213	1.206000	16.952662
49.804331	1.224000	17.205687
49.801449	1.242000	17.458712
49.798566	1.260000	17.711737
49.795683	1.278000	17.964762
49.792800	1.296000	18.217786
49.789917	1.314000	18.470811
49.787034	1.332000	18.723836
49.784151	1.350000	18.976861
49.781267	1.368000	19.229886
49.778383	1.386000	19.482910
49.775500	1.404000	19.735935
49.772616	1.422000	19.988960
49.769732	1.440000	20.241985
49.766847	1.458000	20.495010
49.763963	1.476000	20.748034
49.761078	1.494000	21.001059
49.758194	1.512000	21.254084
49.755309	1.530000	21.507109
49.752424	1.548000	21.760134
49.749539	1.566000	22.013159
49.746653	1.584000	22.266183
49.743768	1.602000	22.519208
49.740883	1.620000	22.772233
49.737997	1.638000	23.025258
49.735111	1.656000	23.278283
49.732225	1.674000	23.531307
49.729339	1.692000	23.784332
49.726453	1.710000	24.037357
49.723566	1.728000	24.290382
49.720680	1.746000	24.543407
49.717793	1.764000	24.796431
49.714906	1.782000	25.049456
49.712019	1.800000	25.302481
49.709132	1.818000	25.555506
49.706244	1.836000	25.808531
49.703357	1.854000	26.061556
49.700469	1.872000	26.314580
49.697582	1.890000	26.567605
49.694694	1.908000	26.820630
49.691806	1.926000	27.073655
49.688918	1.944000	27.326680
49.686029	1.962000	27.579704
49.683141	1.980000	27.832729
