# Energy(MeV)	mg/cm2	cm
6.000000	0.000000	0.000000
5.999095	0.001000	0.013054
5.998189	0.002000	0.026107
5.997284	0.003000	0.039161
5.996378	0.004000	0.052214
5.995473	0.005000	0.065268
5.994567	0.006000	0.078321
5.993661	0.007000	0.091375
5.992755	0.008000	0.104429
5.991849	0.009000	0.117482
5.990943	0.010000	0.130536
5.990037	0.011000	0.143589
5.989130	0.012000	0.156643
5.988224	0.013000	0.169696
5.987317	0.014000	0.182750
5.986411	0.015000	0.195803
5.985504	0.016000	0.208857
5.984597	0.017000	0.221911
5.983690	0.018000	0.234964
5.982783	0.019000	0.248018
5.981876	0.020000	0.261071
5.980969	0.021000	0.274125
5.980061	0.022000	0.287178
5.979154	0.023000	0.300232
5.978246	0.024000	0.313286
5.977339	0.025000	0.326339
5.976431	0.026000	0.339393
5.975523	0.027000	0.352446
5.974615	0.028000	0.365500
5.973707	0.029000	0.378553
5.972799	0.030000	0.391607
5.971891	0.031000	0.404660
5.970982	0.032000	0.417714
5.970074	0.033000	0.430768
5.969165	0.034000	0.443821
5.968257	0.035000	0.456875
5.967348	0.036000	0.469928
5.966439	0.037000	0.482982
5.965530	0.038000	0.496035
5.964621	0.039000	0.509089
5.963712	0.040000	0.522143
5.962803	0.041000	0.535196
5.961894	0.042000	0.548250
5.960984	0.043000	0.561303
5.960075	0.044000	0.574357
5.959165	0.045000	0.587410
5.958255	0.046000	0.600464
5.957345	0.047000	0.613517
5.956436	0.048000	0.626571
5.955526	0.049000	0.639625
5.954615	0.050000	0.652678
5.953705	0.051000	0.665732
5.952795	0.052000	0.678785
5.951884	0.053000	0.691839
5.950974	0.054000	0.704892
5.950063	0.055000	0.717946
5.949152	0.056000	0.731000
5.948242	0.057000	0.744053
5.947331	0.058000	0.757107
5.946420	0.059000	0.770160
5.945509	0.060000	0.783214
5.944597	0.061000	0.796267
5.943686	0.062000	0.809321
5.942775	0.063000	0.822374
5.941863	0.064000	0.835428
5.940951	0.065000	0.848482
5.940040	0.066000	0.861535
5.939128	0.067000	0.874589
5.938216	0.068000	0.887642
5.937304	0.069000	0.900696
5.936392	0.070000	0.913749
5.935479	0.071000	0.926803
5.934567	0.072000	0.939857
5.933655	0.073000	0.952910
5.932742	0.074000	0.965964
5.931829	0.075000	0.979017
5.930917	0.076000	0.992071
5.930004	0.077000	1.005124
5.929091	0.078000	1.018178
5.928178	0.079000	1.031231
5.927265	0.080000	1.044285
5.926352	0.081000	1.057339
5.925438	0.082000	1.070392
5.924525	0.083000	1.083446
5.923611	0.084000	1.096499
5.922698	0.085000	1.109553
5.921784	0.086000	1.122606
5.920870	0.087000	1.135660
5.919956	0.088000	1.148714
5.919042	0.089000	1.161767
5.918128	0.090000	1.174821
5.917213	0.091000	1.187874
5.916299	0.092000	1.200928
5.915385	0.093000	1.213981
5.914470	0.094000	1.227035
5.913555	0.095000	1.240088
5.912641	0.096000	1.253142
5.911726	0.097000	1.266196
5.910811	0.098000	1.279249
5.909896	0.099000	1.292303
5.908980	0.100000	1.305356
5.908065	0.101000	1.318410
5.907150	0.102000	1.331463
5.906234	0.103000	1.344517
5.905319	0.104000	1.357571
5.904403	0.105000	1.370624
5.903487	0.106000	1.383678
5.902571	0.107000	1.396731
5.901655	0.108000	1.409785
5.900739	0.109000	1.422838
5.899823	0.110000	1.435892
5.898907	0.111000	1.448945
5.897990	0.112000	1.461999
5.897074	0.113000	1.475053
5.896157	0.114000	1.488106
5.895241	0.115000	1.501160
5.894324	0.116000	1.514213
5.893407	0.117000	1.527267
5.892490	0.118000	1.540320
5.891573	0.119000	1.553374
5.890655	0.120000	1.566428
5.889738	0.121000	1.579481
5.888821	0.122000	1.592535
5.887903	0.123000	1.605588
5.886986	0.124000	1.618642
5.886068	0.125000	1.631695
5.885150	0.126000	1.644749
5.884232	0.127000	1.657802
5.883314	0.128000	1.670856
5.882396	0.129000	1.683910
5.881478	0.130000	1.696963
5.880559	0.131000	1.710017
5.879641	0.132000	1.723070
5.878722	0.133000	1.736124
5.877804	0.134000	1.749177
5.876885	0.135000	1.762231
5.875966	0.136000	1.775285
5.875047	0.137000	1.788338
5.874128	0.138000	1.801392
5.873209	0.139000	1.814445
5.872289	0.140000	1.827499
5.871370	0.141000	1.840552
5.870451	0.142000	1.853606
5.869531	0.143000	1.866659
5.868611	0.144000	1.879713
5.867691	0.145000	1.892767
5.866772	0.146000	1.905820
5.865852	0.147000	1.918874
5.864931	0.148000	1.931927
5.864011	0.149000	1.944981
5.863091	0.150000	1.958034
5.862170	0.151000	1.971088
5.861250	0.152000	1.984142
5.860329	0.153000	1.997195
5.859409	0.154000	2.010249
5.858488	0.155000	2.023302
5.857567	0.156000	2.036356
5.856646	0.157000	2.049409
5.855725	0.158000	2.062463
5.854803	0.159000	2.075516
5.853882	0.160000	2.088570
5.852961	0.161000	2.101624
5.852039	0.162000	2.114677
5.851117	0.163000	2.127731
5.850196	0.164000	2.140784
5.849274	0.165000	2.153838
5.848352	0.166000	2.166891
5.847430	0.167000	2.179945
5.846507	0.168000	2.192999
5.845585	0.169000	2.206052
5.844663	0.170000	2.219106
5.843740	0.171000	2.232159
5.842818	0.172000	2.245213
5.841895	0.173000	2.258266
5.840972	0.174000	2.271320
5.840049	0.175000	2.284373
5.839126	0.176000	2.297427
5.838203	0.177000	2.310481
5.837280	0.178000	2.323534
5.836356	0.179000	2.336588
5.835433	0.180000	2.349641
5.834509	0.181000	2.362695
5.833586	0.182000	2.375748
5.832662	0.183000	2.388802
5.831738	0.184000	2.401856
5.830814	0.185000	2.414909
5.829890	0.186000	2.427963
5.828966	0.187000	2.441016
5.828042	0.188000	2.454070
5.827117	0.189000	2.467123
5.826193	0.190000	2.480177
5.825268	0.191000	2.493230
5.824343	0.192000	2.506284
5.823419	0.193000	2.519338
5.822494	0.194000	2.532391
5.821569	0.195000	2.545445
5.820643	0.196000	2.558498
5.819718	0.197000	2.571552
5.818793	0.198000	2.584605
5.817867	0.199000	2.597659
5.816942	0.200000	2.610713
5.816016	0.201000	2.623766
5.815090	0.202000	2.636820
5.814165	0.203000	2.649873
5.813239	0.204000	2.662927
5.812313	0.205000	2.675980
5.811386	0.206000	2.689034
5.810460	0.207000	2.702087
5.809534	0.208000	2.715141
5.808607	0.209000	2.728195
5.807681	0.210000	2.741248
5.806754	0.211000	2.754302
5.805827	0.212000	2.767355
5.804900	0.213000	2.780409
5.803973	0.214000	2.793462
5.803046	0.215000	2.806516
5.802119	0.216000	2.819570
5.801191	0.217000	2.832623
5.800264	0.218000	2.845677
5.799336	0.219000	2.858730
5.798409	0.220000	2.871784
5.797481	0.221000	2.884837
5.796553	0.222000	2.897891
5.795625	0.223000	2.910944
5.794697	0.224000	2.923998
5.793769	0.225000	2.937052
5.792840	0.226000	2.950105
5.791912	0.227000	2.963159
5.790983	0.228000	2.976212
5.790055	0.229000	2.989266
5.789126	0.230000	3.002319
5.788197	0.231000	3.015373
5.787268	0.232000	3.028427
5.786339	0.233000	3.041480
5.785410	0.234000	3.054534
5.784481	0.235000	3.067587
5.783551	0.236000	3.080641
5.782622	0.237000	3.093694
5.781692	0.238000	3.106748
5.780763	0.239000	3.119801
5.779833	0.240000	3.132855
5.778903	0.241000	3.145909
5.777973	0.242000	3.158962
5.777043	0.243000	3.172016
5.776112	0.244000	3.185069
5.775182	0.245000	3.198123
5.774252	0.246000	3.211176
5.773321	0.247000	3.224230
5.772390	0.248000	3.237284
5.771460	0.249000	3.250337
5.770529	0.250000	3.263391
5.769598	0.251000	3.276444
5.768667	0.252000	3.289498
5.767735	0.253000	3.302551
5.766804	0.254000	3.315605
5.765873	0.255000	3.328658
5.764941	0.256000	3.341712
5.764010	0.257000	3.354766
5.763078	0.258000	3.367819
5.762146	0.259000	3.380873
5.761214	0.260000	3.393926
5.760282	0.261000	3.406980
5.759350	0.262000	3.420033
5.758417	0.263000	3.433087
5.757485	0.264000	3.446141
5.756553	0.265000	3.459194
5.755620	0.266000	3.472248
5.754687	0.267000	3.485301
5.753754	0.268000	3.498355
5.752821	0.269000	3.511408
5.751888	0.270000	3.524462
5.750955	0.271000	3.537515
5.750022	0.272000	3.550569
5.749089	0.273000	3.563623
5.748155	0.274000	3.576676
5.747222	0.275000	3.589730
5.746288	0.276000	3.602783
5.745354	0.277000	3.615837
5.744420	0.278000	3.628890
5.743486	0.279000	3.641944
5.742552	0.280000	3.654998
5.741618	0.281000	3.668051
5.740683	0.282000	3.681105
5.739749	0.283000	3.694158
5.738814	0.284000	3.707212
5.737880	0.285000	3.720265
5.736945	0.286000	3.733319
5.736010	0.287000	3.746372
5.735075	0.288000	3.759426
5.734140	0.289000	3.772480
5.733205	0.290000	3.785533
5.732269	0.291000	3.798587
5.731334	0.292000	3.811640
5.730398	0.293000	3.824694
5.729463	0.294000	3.837747
5.728527	0.295000	3.850801
5.727591	0.296000	3.863855
5.726655	0.297000	3.876908
5.725719	0.298000	3.889962
5.724783	0.299000	3.903015
5.723846	0.300000	3.916069
5.722910	0.301000	3.929122
5.721973	0.302000	3.942176
5.721037	0.303000	3.955229
5.720100	0.304000	3.968283
5.719163	0.305000	3.981337
5.718226	0.306000	3.994390
5.717289	0.307000	4.007444
5.716352	0.308000	4.020497
5.715415	0.309000	4.033551
5.714477	0.310000	4.046604
5.713540	0.311000	4.059658
5.712602	0.312000	4.072712
5.711664	0.313000	4.085765
5.710727	0.314000	4.098819
5.709789	0.315000	4.111872
5.708850	0.316000	4.124926
5.707912	0.317000	4.137979
5.706974	0.318000	4.151033
5.706036	0.319000	4.164086
5.705097	0.320000	4.177140
5.704158	0.321000	4.190194
5.703220	0.322000	4.203247
5.702281	0.323000	4.216301
5.701342	0.324000	4.229354
5.700403	0.325000	4.242408
5.699464	0.326000	4.255461
5.698524	0.327000	4.268515
5.697585	0.328000	4.281569
5.696645	0.329000	4.294622
5.695706	0.330000	4.307676
5.694766	0.331000	4.320729
5.693826	0.332000	4.333783
5.692886	0.333000	4.346836
5.691946	0.334000	4.359890
5.691006	0.335000	4.372943
5.690066	0.336000	4.385997
5.689125	0.337000	4.399051
5.688185	0.338000	4.412104
5.687244	0.339000	4.425158
5.686303	0.340000	4.438211
5.685363	0.341000	4.451265
5.684422	0.342000	4.464318
5.683481	0.343000	4.477372
5.682539	0.344000	4.490426
5.681598	0.345000	4.503479
5.680657	0.346000	4.516533
5.679715	0.347000	4.529586
5.678774	0.348000	4.542640
5.677832	0.349000	4.555693
5.676890	0.350000	4.568747
5.675948	0.351000	4.581800
5.675006	0.352000	4.594854
5.674064	0.353000	4.607908
5.673121	0.354000	4.620961
5.672179	0.355000	4.634015
5.671237	0.356000	4.647068
5.670294	0.357000	4.660122
5.669351	0.358000	4.673175
5.668408	0.359000	4.686229
5.667465	0.360000	4.699283
5.666522	0.361000	4.712336
5.665579	0.362000	4.725390
5.664636	0.363000	4.738443
5.663692	0.364000	4.751497
5.662749	0.365000	4.764550
5.661805	0.366000	4.777604
5.660861	0.367000	4.790657
5.659918	0.368000	4.803711
5.658974	0.369000	4.816765
5.658029	0.370000	4.829818
5.657085	0.371000	4.842872
5.656141	0.372000	4.855925
5.655196	0.373000	4.868979
5.654252	0.374000	4.882032
5.653307	0.375000	4.895086
5.652363	0.376000	4.908140
5.651418	0.377000	4.921193
5.650473	0.378000	4.934247
5.649528	0.379000	4.947300
5.648582	0.380000	4.960354
5.647637	0.381000	4.973407
5.646692	0.382000	4.986461
5.645746	0.383000	4.999514
5.644800	0.384000	5.012568
5.643854	0.385000	5.025622
5.642909	0.386000	5.038675
5.641963	0.387000	5.051729
5.641016	0.388000	5.064782
5.640070	0.389000	5.077836
5.639124	0.390000	5.090889
5.638177	0.391000	5.103943
5.637231	0.392000	5.116997
5.636284	0.393000	5.130050
5.635337	0.394000	5.143104
5.634390	0.395000	5.156157
5.633443	0.396000	5.169211
5.632496	0.397000	5.182264
5.631549	0.398000	5.195318
5.630602	0.399000	5.208371
5.629654	0.400000	5.221425
5.628706	0.401000	5.234479
5.627759	0.402000	5.247532
5.626811	0.403000	5.260586
5.625863	0.404000	5.273639
5.624915	0.405000	5.286693
5.623967	0.406000	5.299746
5.623018	0.407000	5.312800
5.622070	0.408000	5.325854
5.621121	0.409000	5.338907
5.620173	0.410000	5.351961
5.619224	0.411000	5.365014
5.618275	0.412000	5.378068
5.617326	0.413000	5.391121
5.616377	0.414000	5.404175
5.615428	0.415000	5.417228
