# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 80 MeV
80.000000	0.000000	0.000000
79.766654	0.015000	0.210854
79.532996	0.030000	0.421708
79.299025	0.045000	0.632562
79.064738	0.060000	0.843416
78.830135	0.075000	1.054270
78.595215	0.090000	1.265124
78.359976	0.105000	1.475978
78.124416	0.120000	1.686832
77.888535	0.135000	1.897686
77.652331	0.150000	2.108540
77.415803	0.165000	2.319394
77.178950	0.180000	2.530248
76.941769	0.195000	2.741102
76.704260	0.210000	2.951956
76.466421	0.225000	3.162810
76.228251	0.240000	3.373664
75.989748	0.255000	3.584518
75.750912	0.270000	3.795372
75.511739	0.285000	4.006226
75.272230	0.300000	4.217080
75.032383	0.315000	4.427934
74.792195	0.330000	4.638788
74.551666	0.345000	4.849642
74.310794	0.360000	5.060496
74.069578	0.375000	5.271350
73.828016	0.390000	5.482204
73.586107	0.405000	5.693058
73.343848	0.420000	5.903912
73.101239	0.435000	6.114766
72.858278	0.450000	6.325620
72.614963	0.465000	6.536474
72.371292	0.480000	6.747328
72.127265	0.495000	6.958182
71.882879	0.510000	7.169036
71.638133	0.525000	7.379890
71.393026	0.540000	7.590744
71.147555	0.555000	7.801598
70.901718	0.570000	8.012452
70.655515	0.585000	8.223306
70.408943	0.600000	8.434160
70.162001	0.615000	8.645014
69.914687	0.630000	8.855868
69.666999	0.645000	9.066722
69.418936	0.660000	9.277576
69.170496	0.675000	9.488430
68.921676	0.690000	9.699284
68.672475	0.705000	9.910138
68.422892	0.720000	10.120992
68.172925	0.735000	10.331846
67.922571	0.750000	10.542700
67.671828	0.765000	10.753554
67.420696	0.780000	10.964408
67.169172	0.795000	11.175262
66.917254	0.810000	11.386116
66.664939	0.825000	11.596970
66.412227	0.840000	11.807825
66.159116	0.855000	12.018679
65.905602	0.870000	12.229533
65.651685	0.885000	12.440387
65.397362	0.900000	12.651241
65.142631	0.915000	12.862095
64.887491	0.930000	13.072949
64.631938	0.945000	13.283803
64.375971	0.960000	13.494657
64.119588	0.975000	13.705511
63.862787	0.990000	13.916365
63.605566	1.005000	14.127219
63.347922	1.020000	14.338073
63.089853	1.035000	14.548927
62.831356	1.050000	14.759781
62.572431	1.065000	14.970635
62.313074	1.080000	15.181489
62.053284	1.095000	15.392343
61.793057	1.110000	15.603197
61.532392	1.125000	15.814051
61.271286	1.140000	16.024905
61.009737	1.155000	16.235759
60.747742	1.170000	16.446613
60.485299	1.185000	16.657467
60.222406	1.200000	16.868321
59.959060	1.215000	17.079175
59.695259	1.230000	17.290029
59.431000	1.245000	17.500883
59.166280	1.260000	17.711737
58.901097	1.275000	17.922591
58.635449	1.290000	18.133445
58.369332	1.305000	18.344299
58.102744	1.320000	18.555153
57.835683	1.335000	18.766007
57.568146	1.350000	18.976861
57.300129	1.365000	19.187715
57.031631	1.380000	19.398569
56.762648	1.395000	19.609423
56.493177	1.410000	19.820277
56.223216	1.425000	20.031131
55.952762	1.440000	20.241985
55.681811	1.455000	20.452839
55.410362	1.470000	20.663693
55.138410	1.485000	20.874547
54.865953	1.500000	21.085401
54.592988	1.515000	21.296255
54.319511	1.530000	21.507109
54.045519	1.545000	21.717963
53.771010	1.560000	21.928817
53.495980	1.575000	22.139671
53.220426	1.590000	22.350525
52.944344	1.605000	22.561379
52.667731	1.620000	22.772233
