# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 80 MeV
80.000000	0.000000	0.000000
79.984236	0.001000	0.013054
79.968471	0.002000	0.026107
79.952704	0.003000	0.039161
79.936935	0.004000	0.052214
79.921166	0.005000	0.065268
79.905394	0.006000	0.078321
79.889622	0.007000	0.091375
79.873848	0.008000	0.104429
79.858073	0.009000	0.117482
79.842296	0.010000	0.130536
79.826518	0.011000	0.143589
79.810738	0.012000	0.156643
79.794957	0.013000	0.169696
79.779174	0.014000	0.182750
79.763390	0.015000	0.195803
79.747605	0.016000	0.208857
79.731818	0.017000	0.221911
79.716030	0.018000	0.234964
79.700240	0.019000	0.248018
79.684449	0.020000	0.261071
79.668657	0.021000	0.274125
79.652863	0.022000	0.287178
79.637068	0.023000	0.300232
79.621271	0.024000	0.313286
79.605473	0.025000	0.326339
79.589673	0.026000	0.339393
79.573872	0.027000	0.352446
79.558070	0.028000	0.365500
79.542266	0.029000	0.378553
79.526460	0.030000	0.391607
79.510654	0.031000	0.404660
79.494846	0.032000	0.417714
79.479036	0.033000	0.430768
79.463225	0.034000	0.443821
79.447412	0.035000	0.456875
79.431599	0.036000	0.469928
79.415783	0.037000	0.482982
79.399966	0.038000	0.496035
79.384148	0.039000	0.509089
79.368329	0.040000	0.522143
79.352508	0.041000	0.535196
79.336685	0.042000	0.548250
79.320861	0.043000	0.561303
79.305036	0.044000	0.574357
79.289209	0.045000	0.587410
79.273381	0.046000	0.600464
79.257551	0.047000	0.613517
79.241720	0.048000	0.626571
79.225887	0.049000	0.639625
79.210054	0.050000	0.652678
79.194218	0.051000	0.665732
79.178381	0.052000	0.678785
79.162543	0.053000	0.691839
79.146703	0.054000	0.704892
79.130862	0.055000	0.717946
79.115019	0.056000	0.731000
79.099175	0.057000	0.744053
79.083330	0.058000	0.757107
79.067483	0.059000	0.770160
79.051635	0.060000	0.783214
79.035785	0.061000	0.796267
79.019934	0.062000	0.809321
79.004081	0.063000	0.822374
78.988227	0.064000	0.835428
78.972371	0.065000	0.848482
78.956514	0.066000	0.861535
78.940656	0.067000	0.874589
78.924796	0.068000	0.887642
78.908934	0.069000	0.900696
78.893072	0.070000	0.913749
78.877207	0.071000	0.926803
78.861342	0.072000	0.939857
78.845475	0.073000	0.952910
78.829606	0.074000	0.965964
78.813736	0.075000	0.979017
78.797864	0.076000	0.992071
78.781992	0.077000	1.005124
78.766117	0.078000	1.018178
78.750241	0.079000	1.031231
78.734364	0.080000	1.044285
78.718485	0.081000	1.057339
78.702605	0.082000	1.070392
78.686724	0.083000	1.083446
78.670841	0.084000	1.096499
78.654956	0.085000	1.109553
78.639070	0.086000	1.122606
78.623183	0.087000	1.135660
78.607294	0.088000	1.148714
78.591403	0.089000	1.161767
78.575512	0.090000	1.174821
78.559618	0.091000	1.187874
78.543724	0.092000	1.200928
78.527828	0.093000	1.213981
78.511930	0.094000	1.227035
78.496031	0.095000	1.240088
78.480130	0.096000	1.253142
78.464228	0.097000	1.266196
78.448325	0.098000	1.279249
78.432420	0.099000	1.292303
78.416514	0.100000	1.305356
78.400606	0.101000	1.318410
78.384697	0.102000	1.331463
78.368786	0.103000	1.344517
78.352874	0.104000	1.357571
78.336960	0.105000	1.370624
78.321045	0.106000	1.383678
78.305129	0.107000	1.396731
78.289211	0.108000	1.409785
78.273291	0.109000	1.422838
78.257370	0.110000	1.435892
78.241448	0.111000	1.448945
78.225524	0.112000	1.461999
78.209599	0.113000	1.475053
78.193672	0.114000	1.488106
78.177744	0.115000	1.501160
78.161814	0.116000	1.514213
78.145883	0.117000	1.527267
78.129950	0.118000	1.540320
78.114016	0.119000	1.553374
78.098081	0.120000	1.566428
78.082144	0.121000	1.579481
78.066205	0.122000	1.592535
78.050265	0.123000	1.605588
78.034324	0.124000	1.618642
78.018381	0.125000	1.631695
78.002436	0.126000	1.644749
77.986491	0.127000	1.657802
77.970543	0.128000	1.670856
77.954595	0.129000	1.683910
77.938644	0.130000	1.696963
77.922693	0.131000	1.710017
77.906739	0.132000	1.723070
77.890785	0.133000	1.736124
77.874829	0.134000	1.749177
77.858871	0.135000	1.762231
77.842912	0.136000	1.775285
77.826951	0.137000	1.788338
77.810989	0.138000	1.801392
77.795026	0.139000	1.814445
77.779061	0.140000	1.827499
77.763095	0.141000	1.840552
77.747127	0.142000	1.853606
77.731157	0.143000	1.866659
77.715186	0.144000	1.879713
77.699214	0.145000	1.892767
77.683240	0.146000	1.905820
77.667265	0.147000	1.918874
77.651288	0.148000	1.931927
77.635310	0.149000	1.944981
77.619330	0.150000	1.958034
77.603349	0.151000	1.971088
77.587366	0.152000	1.984142
77.571382	0.153000	1.997195
77.555397	0.154000	2.010249
77.539410	0.155000	2.023302
77.523421	0.156000	2.036356
77.507431	0.157000	2.049409
77.491439	0.158000	2.062463
77.475446	0.159000	2.075516
77.459452	0.160000	2.088570
77.443456	0.161000	2.101624
77.427458	0.162000	2.114677
77.411459	0.163000	2.127731
77.395459	0.164000	2.140784
77.379457	0.165000	2.153838
77.363454	0.166000	2.166891
77.347449	0.167000	2.179945
77.331442	0.168000	2.192999
77.315434	0.169000	2.206052
77.299425	0.170000	2.219106
77.283414	0.171000	2.232159
77.267402	0.172000	2.245213
77.251388	0.173000	2.258266
77.235373	0.174000	2.271320
77.219356	0.175000	2.284373
77.203338	0.176000	2.297427
77.187318	0.177000	2.310481
77.171297	0.178000	2.323534
77.155274	0.179000	2.336588
77.139250	0.180000	2.349641
77.123224	0.181000	2.362695
77.107197	0.182000	2.375748
77.091168	0.183000	2.388802
77.075138	0.184000	2.401856
77.059106	0.185000	2.414909
77.043073	0.186000	2.427963
77.027038	0.187000	2.441016
77.011002	0.188000	2.454070
76.994964	0.189000	2.467123
76.978925	0.190000	2.480177
76.962885	0.191000	2.493230
76.946842	0.192000	2.506284
76.930799	0.193000	2.519338
76.914754	0.194000	2.532391
76.898707	0.195000	2.545445
76.882659	0.196000	2.558498
76.866609	0.197000	2.571552
76.850558	0.198000	2.584605
76.834505	0.199000	2.597659
76.818451	0.200000	2.610713
76.802396	0.201000	2.623766
76.786338	0.202000	2.636820
76.770280	0.203000	2.649873
76.754220	0.204000	2.662927
76.738158	0.205000	2.675980
76.722095	0.206000	2.689034
76.706030	0.207000	2.702087
76.689964	0.208000	2.715141
76.673896	0.209000	2.728195
76.657827	0.210000	2.741248
76.641757	0.211000	2.754302
76.625684	0.212000	2.767355
76.609611	0.213000	2.780409
76.593536	0.214000	2.793462
76.577459	0.215000	2.806516
76.561381	0.216000	2.819570
76.545301	0.217000	2.832623
76.529220	0.218000	2.845677
76.513137	0.219000	2.858730
76.497053	0.220000	2.871784
76.480967	0.221000	2.884837
76.464880	0.222000	2.897891
76.448791	0.223000	2.910944
76.432701	0.224000	2.923998
76.416609	0.225000	2.937052
76.400516	0.226000	2.950105
76.384421	0.227000	2.963159
76.368325	0.228000	2.976212
76.352227	0.229000	2.989266
76.336128	0.230000	3.002319
76.320027	0.231000	3.015373
76.303925	0.232000	3.028427
76.287821	0.233000	3.041480
76.271715	0.234000	3.054534
76.255609	0.235000	3.067587
76.239500	0.236000	3.080641
76.223390	0.237000	3.093694
76.207279	0.238000	3.106748
76.191166	0.239000	3.119801
76.175051	0.240000	3.132855
76.158935	0.241000	3.145909
76.142818	0.242000	3.158962
76.126699	0.243000	3.172016
76.110578	0.244000	3.185069
76.094456	0.245000	3.198123
76.078333	0.246000	3.211176
76.062208	0.247000	3.224230
76.046081	0.248000	3.237284
76.029953	0.249000	3.250337
76.013823	0.250000	3.263391
75.997692	0.251000	3.276444
75.981559	0.252000	3.289498
75.965425	0.253000	3.302551
75.949290	0.254000	3.315605
75.933152	0.255000	3.328658
75.917013	0.256000	3.341712
75.900873	0.257000	3.354766
75.884731	0.258000	3.367819
75.868588	0.259000	3.380873
75.852443	0.260000	3.393926
75.836297	0.261000	3.406980
75.820149	0.262000	3.420033
75.803999	0.263000	3.433087
75.787848	0.264000	3.446141
75.771696	0.265000	3.459194
75.755542	0.266000	3.472248
75.739386	0.267000	3.485301
75.723229	0.268000	3.498355
75.707070	0.269000	3.511408
75.690910	0.270000	3.524462
75.674749	0.271000	3.537515
75.658585	0.272000	3.550569
75.642421	0.273000	3.563623
75.626254	0.274000	3.576676
75.610087	0.275000	3.589730
75.593917	0.276000	3.602783
75.577746	0.277000	3.615837
75.561574	0.278000	3.628890
75.545400	0.279000	3.641944
75.529225	0.280000	3.654998
75.513048	0.281000	3.668051
75.496869	0.282000	3.681105
75.480689	0.283000	3.694158
75.464507	0.284000	3.707212
75.448324	0.285000	3.720265
75.432139	0.286000	3.733319
75.415953	0.287000	3.746372
75.399765	0.288000	3.759426
75.383576	0.289000	3.772480
75.367385	0.290000	3.785533
75.351193	0.291000	3.798587
75.334999	0.292000	3.811640
75.318804	0.293000	3.824694
75.302607	0.294000	3.837747
75.286408	0.295000	3.850801
75.270208	0.296000	3.863855
75.254006	0.297000	3.876908
75.237803	0.298000	3.889962
75.221598	0.299000	3.903015
75.205392	0.300000	3.916069
75.189184	0.301000	3.929122
75.172975	0.302000	3.942176
75.156764	0.303000	3.955229
75.140552	0.304000	3.968283
75.124338	0.305000	3.981337
75.108122	0.306000	3.994390
75.091905	0.307000	4.007444
75.075687	0.308000	4.020497
75.059466	0.309000	4.033551
75.043245	0.310000	4.046604
75.027021	0.311000	4.059658
75.010797	0.312000	4.072712
74.994570	0.313000	4.085765
74.978342	0.314000	4.098819
74.962113	0.315000	4.111872
74.945882	0.316000	4.124926
74.929649	0.317000	4.137979
74.913415	0.318000	4.151033
74.897180	0.319000	4.164086
74.880942	0.320000	4.177140
74.864704	0.321000	4.190194
74.848463	0.322000	4.203247
74.832221	0.323000	4.216301
74.815978	0.324000	4.229354
74.799733	0.325000	4.242408
74.783486	0.326000	4.255461
74.767238	0.327000	4.268515
74.750989	0.328000	4.281569
74.734737	0.329000	4.294622
74.718485	0.330000	4.307676
74.702230	0.331000	4.320729
74.685975	0.332000	4.333783
74.669717	0.333000	4.346836
74.653458	0.334000	4.359890
74.637198	0.335000	4.372943
74.620935	0.336000	4.385997
74.604672	0.337000	4.399051
74.588407	0.338000	4.412104
74.572140	0.339000	4.425158
74.555871	0.340000	4.438211
74.539601	0.341000	4.451265
74.523330	0.342000	4.464318
74.507057	0.343000	4.477372
74.490782	0.344000	4.490426
74.474506	0.345000	4.503479
74.458228	0.346000	4.516533
74.441949	0.347000	4.529586
74.425668	0.348000	4.542640
74.409386	0.349000	4.555693
74.393102	0.350000	4.568747
74.376816	0.351000	4.581800
74.360529	0.352000	4.594854
74.344240	0.353000	4.607908
74.327950	0.354000	4.620961
74.311658	0.355000	4.634015
74.295365	0.356000	4.647068
74.279070	0.357000	4.660122
74.262773	0.358000	4.673175
74.246475	0.359000	4.686229
74.230176	0.360000	4.699283
74.213874	0.361000	4.712336
74.197572	0.362000	4.725390
74.181267	0.363000	4.738443
74.164961	0.364000	4.751497
74.148654	0.365000	4.764550
74.132345	0.366000	4.777604
74.116034	0.367000	4.790657
74.099722	0.368000	4.803711
74.083408	0.369000	4.816765
74.067092	0.370000	4.829818
74.050775	0.371000	4.842872
74.034457	0.372000	4.855925
74.018137	0.373000	4.868979
74.001815	0.374000	4.882032
73.985492	0.375000	4.895086
73.969167	0.376000	4.908140
73.952840	0.377000	4.921193
73.936512	0.378000	4.934247
73.920183	0.379000	4.947300
73.903852	0.380000	4.960354
73.887519	0.381000	4.973407
73.871184	0.382000	4.986461
73.854848	0.383000	4.999514
73.838511	0.384000	5.012568
73.822172	0.385000	5.025622
73.805831	0.386000	5.038675
73.789489	0.387000	5.051729
73.773145	0.388000	5.064782
73.756800	0.389000	5.077836
73.740453	0.390000	5.090889
73.724104	0.391000	5.103943
73.707754	0.392000	5.116997
73.691402	0.393000	5.130050
73.675049	0.394000	5.143104
73.658694	0.395000	5.156157
73.642337	0.396000	5.169211
73.625979	0.397000	5.182264
73.609619	0.398000	5.195318
73.593258	0.399000	5.208371
73.576895	0.400000	5.221425
73.560531	0.401000	5.234479
73.544165	0.402000	5.247532
73.527797	0.403000	5.260586
73.511428	0.404000	5.273639
73.495057	0.405000	5.286693
73.478684	0.406000	5.299746
73.462310	0.407000	5.312800
73.445935	0.408000	5.325854
73.429558	0.409000	5.338907
73.413179	0.410000	5.351961
73.396798	0.411000	5.365014
73.380416	0.412000	5.378068
73.364033	0.413000	5.391121
73.347647	0.414000	5.404175
73.331261	0.415000	5.417228
73.314872	0.416000	5.430282
73.298482	0.417000	5.443336
73.282091	0.418000	5.456389
73.265698	0.419000	5.469443
73.249303	0.420000	5.482496
73.232906	0.421000	5.495550
73.216508	0.422000	5.508603
73.200109	0.423000	5.521657
73.183708	0.424000	5.534711
73.167305	0.425000	5.547764
73.150900	0.426000	5.560818
73.134494	0.427000	5.573871
73.118087	0.428000	5.586925
73.101678	0.429000	5.599978
73.085267	0.430000	5.613032
73.068854	0.431000	5.626085
73.052440	0.432000	5.639139
73.036025	0.433000	5.652193
73.019608	0.434000	5.665246
73.003189	0.435000	5.678300
72.986768	0.436000	5.691353
72.970346	0.437000	5.704407
72.953923	0.438000	5.717460
72.937497	0.439000	5.730514
72.921071	0.440000	5.743568
72.904642	0.441000	5.756621
72.888212	0.442000	5.769675
72.871780	0.443000	5.782728
72.855347	0.444000	5.795782
72.838912	0.445000	5.808835
72.822475	0.446000	5.821889
72.806037	0.447000	5.834942
72.789598	0.448000	5.847996
72.773156	0.449000	5.861050
