# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 80 MeV
80.000000	0.000000	0.000000
79.984236	0.001000	0.009324
79.968471	0.002000	0.018648
79.952704	0.003000	0.027972
79.936935	0.004000	0.037296
79.921166	0.005000	0.046620
79.905394	0.006000	0.055944
79.889622	0.007000	0.065268
79.873848	0.008000	0.074592
79.858073	0.009000	0.083916
79.842296	0.010000	0.093240
79.826518	0.011000	0.102564
79.810738	0.012000	0.111888
79.794957	0.013000	0.121212
79.779174	0.014000	0.130536
79.763390	0.015000	0.139860
79.747605	0.016000	0.149184
79.731818	0.017000	0.158508
79.716030	0.018000	0.167832
79.700240	0.019000	0.177155
79.684449	0.020000	0.186479
79.668657	0.021000	0.195803
79.652863	0.022000	0.205127
79.637068	0.023000	0.214451
79.621271	0.024000	0.223775
79.605473	0.025000	0.233099
79.589673	0.026000	0.242423
79.573872	0.027000	0.251747
79.558070	0.028000	0.261071
79.542266	0.029000	0.270395
79.526460	0.030000	0.279719
79.510654	0.031000	0.289043
79.494846	0.032000	0.298367
79.479036	0.033000	0.307691
79.463225	0.034000	0.317015
79.447412	0.035000	0.326339
79.431599	0.036000	0.335663
79.415783	0.037000	0.344987
79.399966	0.038000	0.354311
79.384148	0.039000	0.363635
79.368329	0.040000	0.372959
79.352508	0.041000	0.382283
79.336685	0.042000	0.391607
79.320861	0.043000	0.400931
79.305036	0.044000	0.410255
79.289209	0.045000	0.419579
79.273381	0.046000	0.428903
79.257551	0.047000	0.438227
79.241720	0.048000	0.447551
79.225887	0.049000	0.456875
79.210054	0.050000	0.466199
79.194218	0.051000	0.475523
79.178381	0.052000	0.484847
79.162543	0.053000	0.494171
79.146703	0.054000	0.503495
79.130862	0.055000	0.512819
79.115019	0.056000	0.522143
79.099175	0.057000	0.531466
79.083330	0.058000	0.540790
79.067483	0.059000	0.550114
79.051635	0.060000	0.559438
79.035785	0.061000	0.568762
79.019934	0.062000	0.578086
79.004081	0.063000	0.587410
78.988227	0.064000	0.596734
78.972371	0.065000	0.606058
78.956514	0.066000	0.615382
78.940656	0.067000	0.624706
78.924796	0.068000	0.634030
78.908934	0.069000	0.643354
78.893072	0.070000	0.652678
