# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 20 MeV
20.000000	0.000000	0.000000
19.999951	0.001000	0.014057
19.999901	0.002000	0.028114
19.999852	0.003000	0.042171
19.999802	0.004000	0.056228
19.999753	0.005000	0.070285
19.999703	0.006000	0.084342
19.999654	0.007000	0.098399
19.999604	0.008000	0.112455
19.999555	0.009000	0.126512
19.999506	0.010000	0.140569
19.999456	0.011000	0.154626
19.999407	0.012000	0.168683
19.999357	0.013000	0.182740
19.999308	0.014000	0.196797
19.999258	0.015000	0.210854
19.999209	0.016000	0.224911
19.999159	0.017000	0.238968
19.999110	0.018000	0.253025
19.999061	0.019000	0.267082
19.999011	0.020000	0.281139
19.998962	0.021000	0.295196
19.998912	0.022000	0.309253
19.998863	0.023000	0.323309
19.998813	0.024000	0.337366
19.998764	0.025000	0.351423
19.998714	0.026000	0.365480
19.998665	0.027000	0.379537
19.998616	0.028000	0.393594
19.998566	0.029000	0.407651
19.998517	0.030000	0.421708
19.998467	0.031000	0.435765
19.998418	0.032000	0.449822
19.998368	0.033000	0.463879
19.998319	0.034000	0.477936
19.998269	0.035000	0.491993
19.998220	0.036000	0.506050
19.998170	0.037000	0.520107
19.998121	0.038000	0.534163
19.998072	0.039000	0.548220
19.998022	0.040000	0.562277
19.997973	0.041000	0.576334
19.997923	0.042000	0.590391
19.997874	0.043000	0.604448
19.997824	0.044000	0.618505
19.997775	0.045000	0.632562
19.997725	0.046000	0.646619
19.997676	0.047000	0.660676
19.997627	0.048000	0.674733
19.997577	0.049000	0.688790
19.997528	0.050000	0.702847
19.997478	0.051000	0.716904
19.997429	0.052000	0.730961
19.997379	0.053000	0.745017
19.997330	0.054000	0.759074
19.997280	0.055000	0.773131
19.997231	0.056000	0.787188
19.997181	0.057000	0.801245
19.997132	0.058000	0.815302
19.997083	0.059000	0.829359
19.997033	0.060000	0.843416
19.996984	0.061000	0.857473
19.996934	0.062000	0.871530
19.996885	0.063000	0.885587
19.996835	0.064000	0.899644
19.996786	0.065000	0.913701
19.996736	0.066000	0.927758
19.996687	0.067000	0.941815
19.996638	0.068000	0.955872
19.996588	0.069000	0.969928
19.996539	0.070000	0.983985
19.996489	0.071000	0.998042
19.996440	0.072000	1.012099
19.996390	0.073000	1.026156
19.996341	0.074000	1.040213
19.996291	0.075000	1.054270
19.996242	0.076000	1.068327
19.996192	0.077000	1.082384
19.996143	0.078000	1.096441
19.996094	0.079000	1.110498
19.996044	0.080000	1.124555
19.995995	0.081000	1.138612
19.995945	0.082000	1.152669
19.995896	0.083000	1.166726
19.995846	0.084000	1.180782
19.995797	0.085000	1.194839
19.995747	0.086000	1.208896
19.995698	0.087000	1.222953
19.995648	0.088000	1.237010
19.995599	0.089000	1.251067
19.995550	0.090000	1.265124
19.995500	0.091000	1.279181
19.995451	0.092000	1.293238
19.995401	0.093000	1.307295
19.995352	0.094000	1.321352
19.995302	0.095000	1.335409
19.995253	0.096000	1.349466
19.995203	0.097000	1.363523
19.995154	0.098000	1.377580
19.995104	0.099000	1.391636
19.995055	0.100000	1.405693
19.995006	0.101000	1.419750
19.994956	0.102000	1.433807
19.994907	0.103000	1.447864
19.994857	0.104000	1.461921
19.994808	0.105000	1.475978
19.994758	0.106000	1.490035
19.994709	0.107000	1.504092
19.994659	0.108000	1.518149
19.994610	0.109000	1.532206
19.994560	0.110000	1.546263
19.994511	0.111000	1.560320
19.994462	0.112000	1.574377
19.994412	0.113000	1.588434
19.994363	0.114000	1.602490
19.994313	0.115000	1.616547
19.994264	0.116000	1.630604
19.994214	0.117000	1.644661
19.994165	0.118000	1.658718
19.994115	0.119000	1.672775
19.994066	0.120000	1.686832
19.994016	0.121000	1.700889
19.993967	0.122000	1.714946
19.993918	0.123000	1.729003
19.993868	0.124000	1.743060
19.993819	0.125000	1.757117
19.993769	0.126000	1.771174
19.993720	0.127000	1.785231
19.993670	0.128000	1.799288
19.993621	0.129000	1.813344
19.993571	0.130000	1.827401
19.993522	0.131000	1.841458
19.993472	0.132000	1.855515
19.993423	0.133000	1.869572
19.993373	0.134000	1.883629
19.993324	0.135000	1.897686
19.993275	0.136000	1.911743
19.993225	0.137000	1.925800
19.993176	0.138000	1.939857
19.993126	0.139000	1.953914
19.993077	0.140000	1.967971
19.993027	0.141000	1.982028
19.992978	0.142000	1.996085
19.992928	0.143000	2.010142
19.992879	0.144000	2.024198
19.992829	0.145000	2.038255
19.992780	0.146000	2.052312
19.992730	0.147000	2.066369
19.992681	0.148000	2.080426
19.992632	0.149000	2.094483
19.992582	0.150000	2.108540
19.992533	0.151000	2.122597
19.992483	0.152000	2.136654
19.992434	0.153000	2.150711
19.992384	0.154000	2.164768
19.992335	0.155000	2.178825
19.992285	0.156000	2.192882
19.992236	0.157000	2.206939
19.992186	0.158000	2.220996
19.992137	0.159000	2.235052
19.992088	0.160000	2.249109
19.992038	0.161000	2.263166
19.991989	0.162000	2.277223
19.991939	0.163000	2.291280
19.991890	0.164000	2.305337
19.991840	0.165000	2.319394
19.991791	0.166000	2.333451
19.991741	0.167000	2.347508
19.991692	0.168000	2.361565
19.991642	0.169000	2.375622
19.991593	0.170000	2.389679
19.991543	0.171000	2.403736
19.991494	0.172000	2.417793
19.991445	0.173000	2.431850
19.991395	0.174000	2.445907
19.991346	0.175000	2.459963
19.991296	0.176000	2.474020
19.991247	0.177000	2.488077
19.991197	0.178000	2.502134
19.991148	0.179000	2.516191
19.991098	0.180000	2.530248
19.991049	0.181000	2.544305
19.990999	0.182000	2.558362
19.990950	0.183000	2.572419
19.990900	0.184000	2.586476
19.990851	0.185000	2.600533
19.990801	0.186000	2.614590
19.990752	0.187000	2.628647
19.990703	0.188000	2.642704
19.990653	0.189000	2.656761
19.990604	0.190000	2.670817
19.990554	0.191000	2.684874
19.990505	0.192000	2.698931
19.990455	0.193000	2.712988
19.990406	0.194000	2.727045
19.990356	0.195000	2.741102
19.990307	0.196000	2.755159
19.990257	0.197000	2.769216
19.990208	0.198000	2.783273
19.990158	0.199000	2.797330
19.990109	0.200000	2.811387
19.990060	0.201000	2.825444
19.990010	0.202000	2.839501
19.989961	0.203000	2.853558
19.989911	0.204000	2.867615
19.989862	0.205000	2.881671
19.989812	0.206000	2.895728
19.989763	0.207000	2.909785
19.989713	0.208000	2.923842
19.989664	0.209000	2.937899
19.989614	0.210000	2.951956
19.989565	0.211000	2.966013
19.989515	0.212000	2.980070
19.989466	0.213000	2.994127
19.989416	0.214000	3.008184
19.989367	0.215000	3.022241
19.989318	0.216000	3.036298
19.989268	0.217000	3.050355
19.989219	0.218000	3.064412
19.989169	0.219000	3.078469
19.989120	0.220000	3.092525
19.989070	0.221000	3.106582
19.989021	0.222000	3.120639
19.988971	0.223000	3.134696
19.988922	0.224000	3.148753
19.988872	0.225000	3.162810
19.988823	0.226000	3.176867
19.988773	0.227000	3.190924
19.988724	0.228000	3.204981
19.988674	0.229000	3.219038
19.988625	0.230000	3.233095
19.988575	0.231000	3.247152
19.988526	0.232000	3.261209
19.988477	0.233000	3.275266
19.988427	0.234000	3.289323
19.988378	0.235000	3.303379
19.988328	0.236000	3.317436
19.988279	0.237000	3.331493
19.988229	0.238000	3.345550
19.988180	0.239000	3.359607
19.988130	0.240000	3.373664
19.988081	0.241000	3.387721
19.988031	0.242000	3.401778
19.987982	0.243000	3.415835
19.987932	0.244000	3.429892
19.987883	0.245000	3.443949
19.987833	0.246000	3.458006
19.987784	0.247000	3.472063
19.987734	0.248000	3.486120
19.987685	0.249000	3.500177
19.987636	0.250000	3.514233
19.987586	0.251000	3.528290
19.987537	0.252000	3.542347
19.987487	0.253000	3.556404
19.987438	0.254000	3.570461
19.987388	0.255000	3.584518
19.987339	0.256000	3.598575
19.987289	0.257000	3.612632
19.987240	0.258000	3.626689
19.987190	0.259000	3.640746
19.987141	0.260000	3.654803
19.987091	0.261000	3.668860
19.987042	0.262000	3.682917
19.986992	0.263000	3.696974
19.986943	0.264000	3.711031
19.986893	0.265000	3.725087
19.986844	0.266000	3.739144
19.986795	0.267000	3.753201
19.986745	0.268000	3.767258
19.986696	0.269000	3.781315
19.986646	0.270000	3.795372
19.986597	0.271000	3.809429
19.986547	0.272000	3.823486
19.986498	0.273000	3.837543
19.986448	0.274000	3.851600
19.986399	0.275000	3.865657
19.986349	0.276000	3.879714
19.986300	0.277000	3.893771
19.986250	0.278000	3.907828
19.986201	0.279000	3.921885
19.986151	0.280000	3.935942
19.986102	0.281000	3.949998
19.986052	0.282000	3.964055
19.986003	0.283000	3.978112
19.985953	0.284000	3.992169
19.985904	0.285000	4.006226
19.985855	0.286000	4.020283
19.985805	0.287000	4.034340
19.985756	0.288000	4.048397
19.985706	0.289000	4.062454
19.985657	0.290000	4.076511
19.985607	0.291000	4.090568
19.985558	0.292000	4.104625
19.985508	0.293000	4.118682
19.985459	0.294000	4.132739
19.985409	0.295000	4.146796
19.985360	0.296000	4.160852
19.985310	0.297000	4.174909
19.985261	0.298000	4.188966
19.985211	0.299000	4.203023
19.985162	0.300000	4.217080
19.985112	0.301000	4.231137
19.985063	0.302000	4.245194
19.985013	0.303000	4.259251
19.984964	0.304000	4.273308
19.984914	0.305000	4.287365
19.984865	0.306000	4.301422
19.984816	0.307000	4.315479
19.984766	0.308000	4.329536
19.984717	0.309000	4.343593
19.984667	0.310000	4.357650
19.984618	0.311000	4.371706
19.984568	0.312000	4.385763
19.984519	0.313000	4.399820
19.984469	0.314000	4.413877
19.984420	0.315000	4.427934
19.984370	0.316000	4.441991
19.984321	0.317000	4.456048
19.984271	0.318000	4.470105
19.984222	0.319000	4.484162
19.984172	0.320000	4.498219
19.984123	0.321000	4.512276
