# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 30 MeV
30.000000	0.000000	0.000000
29.999235	0.022000	0.205127
29.998470	0.044000	0.410255
29.997706	0.066000	0.615382
29.996941	0.088000	0.820510
29.996176	0.110000	1.025637
29.995411	0.132000	1.230764
29.994646	0.154000	1.435892
29.993881	0.176000	1.641019
29.993117	0.198000	1.846147
29.992352	0.220000	2.051274
29.991587	0.242000	2.256402
29.990822	0.264000	2.461529
29.990057	0.286000	2.666656
29.989292	0.308000	2.871784
29.988527	0.330000	3.076911
29.987762	0.352000	3.282039
29.986997	0.374000	3.487166
29.986232	0.396000	3.692293
29.985467	0.418000	3.897421
29.984702	0.440000	4.102548
29.983936	0.462000	4.307676
29.983171	0.484000	4.512803
29.982406	0.506000	4.717930
29.981641	0.528000	4.923058
29.980876	0.550000	5.128185
29.980111	0.572000	5.333313
29.979346	0.594000	5.538440
29.978580	0.616000	5.743568
29.977815	0.638000	5.948695
29.977050	0.660000	6.153822
29.976285	0.682000	6.358950
29.975519	0.704000	6.564077
29.974754	0.726000	6.769205
29.973989	0.748000	6.974332
29.973223	0.770000	7.179459
29.972458	0.792000	7.384587
29.971693	0.814000	7.589714
29.970927	0.836000	7.794842
29.970162	0.858000	7.999969
29.969396	0.880000	8.205097
29.968631	0.902000	8.410224
29.967866	0.924000	8.615351
29.967100	0.946000	8.820479
29.966335	0.968000	9.025606
29.965569	0.990000	9.230734
29.964804	1.012000	9.435861
29.964038	1.034000	9.640988
29.963272	1.056000	9.846116
29.962507	1.078000	10.051243
29.961741	1.100000	10.256371
29.960976	1.122000	10.461498
29.960210	1.144000	10.666625
29.959444	1.166000	10.871753
29.958679	1.188000	11.076880
29.957913	1.210000	11.282008
29.957147	1.232000	11.487135
29.956382	1.254000	11.692263
29.955616	1.276000	11.897390
29.954850	1.298000	12.102517
29.954084	1.320000	12.307645
29.953319	1.342000	12.512772
29.952553	1.364000	12.717900
29.951787	1.386000	12.923027
29.951021	1.408000	13.128154
29.950255	1.430000	13.333282
29.949490	1.452000	13.538409
29.948724	1.474000	13.743537
29.947958	1.496000	13.948664
29.947192	1.518000	14.153791
29.946426	1.540000	14.358919
29.945660	1.562000	14.564046
29.944894	1.584000	14.769174
29.944128	1.606000	14.974301
