# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 70 MeV
70.000000	0.000000	0.000000
69.992794	0.001000	0.010041
69.985588	0.002000	0.020081
69.978382	0.003000	0.030122
69.971175	0.004000	0.040163
69.963968	0.005000	0.050203
69.956760	0.006000	0.060244
69.949552	0.007000	0.070285
69.942343	0.008000	0.080325
69.935134	0.009000	0.090366
69.927924	0.010000	0.100407
69.920714	0.011000	0.110447
69.913503	0.012000	0.120488
69.906292	0.013000	0.130529
69.899080	0.014000	0.140569
69.891868	0.015000	0.150610
69.884656	0.016000	0.160651
69.877443	0.017000	0.170691
69.870230	0.018000	0.180732
69.863016	0.019000	0.190773
69.855802	0.020000	0.200813
69.848587	0.021000	0.210854
69.841372	0.022000	0.220895
69.834156	0.023000	0.230935
69.826940	0.024000	0.240976
69.819723	0.025000	0.251017
69.812506	0.026000	0.261057
69.805289	0.027000	0.271098
69.798071	0.028000	0.281139
69.790852	0.029000	0.291179
69.783633	0.030000	0.301220
69.776414	0.031000	0.311261
69.769194	0.032000	0.321301
69.761974	0.033000	0.331342
69.754753	0.034000	0.341383
69.747532	0.035000	0.351423
69.740310	0.036000	0.361464
69.733088	0.037000	0.371505
69.725865	0.038000	0.381545
69.718642	0.039000	0.391586
69.711418	0.040000	0.401627
69.704194	0.041000	0.411667
69.696970	0.042000	0.421708
69.689745	0.043000	0.431749
69.682520	0.044000	0.441789
69.675294	0.045000	0.451830
69.668067	0.046000	0.461871
69.660841	0.047000	0.471911
69.653613	0.048000	0.481952
69.646386	0.049000	0.491993
69.639157	0.050000	0.502033
69.631929	0.051000	0.512074
69.624700	0.052000	0.522115
69.617470	0.053000	0.532155
69.610240	0.054000	0.542196
69.603010	0.055000	0.552237
69.595779	0.056000	0.562277
69.588547	0.057000	0.572318
69.581315	0.058000	0.582359
69.574083	0.059000	0.592399
69.566850	0.060000	0.602440
69.559617	0.061000	0.612481
69.552383	0.062000	0.622521
69.545149	0.063000	0.632562
69.537914	0.064000	0.642603
69.530679	0.065000	0.652643
69.523443	0.066000	0.662684
69.516207	0.067000	0.672725
69.508971	0.068000	0.682765
69.501734	0.069000	0.692806
69.494496	0.070000	0.702847
69.487258	0.071000	0.712887
69.480020	0.072000	0.722928
69.472781	0.073000	0.732969
69.465541	0.074000	0.743009
69.458302	0.075000	0.753050
