# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 70 MeV
70.000000	0.000000	0.000000
69.992794	0.001000	0.013054
69.985588	0.002000	0.026107
69.978382	0.003000	0.039161
69.971175	0.004000	0.052214
69.963968	0.005000	0.065268
69.956760	0.006000	0.078321
69.949552	0.007000	0.091375
69.942343	0.008000	0.104429
69.935134	0.009000	0.117482
69.927924	0.010000	0.130536
69.920714	0.011000	0.143589
69.913503	0.012000	0.156643
69.906292	0.013000	0.169696
69.899080	0.014000	0.182750
69.891868	0.015000	0.195803
69.884656	0.016000	0.208857
69.877443	0.017000	0.221911
69.870230	0.018000	0.234964
69.863016	0.019000	0.248018
69.855802	0.020000	0.261071
69.848587	0.021000	0.274125
69.841372	0.022000	0.287178
69.834156	0.023000	0.300232
69.826940	0.024000	0.313286
69.819723	0.025000	0.326339
69.812506	0.026000	0.339393
69.805289	0.027000	0.352446
69.798071	0.028000	0.365500
69.790852	0.029000	0.378553
69.783633	0.030000	0.391607
69.776414	0.031000	0.404660
69.769194	0.032000	0.417714
69.761974	0.033000	0.430768
69.754753	0.034000	0.443821
69.747532	0.035000	0.456875
69.740310	0.036000	0.469928
69.733088	0.037000	0.482982
69.725865	0.038000	0.496035
69.718642	0.039000	0.509089
69.711418	0.040000	0.522143
69.704194	0.041000	0.535196
69.696970	0.042000	0.548250
69.689745	0.043000	0.561303
69.682520	0.044000	0.574357
69.675294	0.045000	0.587410
69.668067	0.046000	0.600464
69.660841	0.047000	0.613517
69.653613	0.048000	0.626571
69.646386	0.049000	0.639625
69.639157	0.050000	0.652678
69.631929	0.051000	0.665732
69.624700	0.052000	0.678785
69.617470	0.053000	0.691839
69.610240	0.054000	0.704892
69.603010	0.055000	0.717946
69.595779	0.056000	0.731000
69.588547	0.057000	0.744053
69.581315	0.058000	0.757107
69.574083	0.059000	0.770160
69.566850	0.060000	0.783214
69.559617	0.061000	0.796267
69.552383	0.062000	0.809321
69.545149	0.063000	0.822374
69.537914	0.064000	0.835428
69.530679	0.065000	0.848482
69.523443	0.066000	0.861535
69.516207	0.067000	0.874589
69.508971	0.068000	0.887642
69.501734	0.069000	0.900696
69.494496	0.070000	0.913749
69.487258	0.071000	0.926803
69.480020	0.072000	0.939857
69.472781	0.073000	0.952910
69.465541	0.074000	0.965964
69.458302	0.075000	0.979017
69.451061	0.076000	0.992071
69.443820	0.077000	1.005124
69.436579	0.078000	1.018178
69.429338	0.079000	1.031231
69.422095	0.080000	1.044285
69.414853	0.081000	1.057339
69.407610	0.082000	1.070392
69.400366	0.083000	1.083446
69.393122	0.084000	1.096499
69.385878	0.085000	1.109553
69.378633	0.086000	1.122606
69.371387	0.087000	1.135660
69.364141	0.088000	1.148714
69.356895	0.089000	1.161767
69.349648	0.090000	1.174821
69.342401	0.091000	1.187874
69.335153	0.092000	1.200928
69.327905	0.093000	1.213981
69.320656	0.094000	1.227035
69.313407	0.095000	1.240088
69.306157	0.096000	1.253142
69.298907	0.097000	1.266196
69.291657	0.098000	1.279249
69.284406	0.099000	1.292303
69.277154	0.100000	1.305356
69.269902	0.101000	1.318410
69.262650	0.102000	1.331463
69.255397	0.103000	1.344517
69.248143	0.104000	1.357571
69.240889	0.105000	1.370624
69.233635	0.106000	1.383678
69.226380	0.107000	1.396731
69.219125	0.108000	1.409785
69.211869	0.109000	1.422838
69.204613	0.110000	1.435892
69.197356	0.111000	1.448945
69.190099	0.112000	1.461999
69.182842	0.113000	1.475053
69.175583	0.114000	1.488106
69.168325	0.115000	1.501160
69.161066	0.116000	1.514213
69.153806	0.117000	1.527267
69.146546	0.118000	1.540320
69.139286	0.119000	1.553374
69.132025	0.120000	1.566428
69.124764	0.121000	1.579481
69.117502	0.122000	1.592535
69.110239	0.123000	1.605588
69.102977	0.124000	1.618642
69.095713	0.125000	1.631695
69.088450	0.126000	1.644749
69.081185	0.127000	1.657802
69.073921	0.128000	1.670856
69.066656	0.129000	1.683910
69.059390	0.130000	1.696963
69.052124	0.131000	1.710017
69.044857	0.132000	1.723070
69.037590	0.133000	1.736124
69.030323	0.134000	1.749177
69.023055	0.135000	1.762231
69.015786	0.136000	1.775285
69.008517	0.137000	1.788338
69.001248	0.138000	1.801392
68.993978	0.139000	1.814445
68.986708	0.140000	1.827499
68.979437	0.141000	1.840552
68.972166	0.142000	1.853606
68.964894	0.143000	1.866659
68.957622	0.144000	1.879713
68.950349	0.145000	1.892767
68.943076	0.146000	1.905820
68.935802	0.147000	1.918874
68.928528	0.148000	1.931927
68.921253	0.149000	1.944981
68.913978	0.150000	1.958034
68.906703	0.151000	1.971088
68.899427	0.152000	1.984142
68.892150	0.153000	1.997195
68.884873	0.154000	2.010249
68.877596	0.155000	2.023302
68.870318	0.156000	2.036356
68.863039	0.157000	2.049409
68.855761	0.158000	2.062463
68.848481	0.159000	2.075516
68.841201	0.160000	2.088570
68.833921	0.161000	2.101624
68.826640	0.162000	2.114677
68.819359	0.163000	2.127731
68.812077	0.164000	2.140784
68.804795	0.165000	2.153838
68.797513	0.166000	2.166891
68.790229	0.167000	2.179945
68.782946	0.168000	2.192999
68.775662	0.169000	2.206052
68.768377	0.170000	2.219106
68.761092	0.171000	2.232159
68.753807	0.172000	2.245213
68.746521	0.173000	2.258266
68.739234	0.174000	2.271320
68.731947	0.175000	2.284373
68.724660	0.176000	2.297427
68.717372	0.177000	2.310481
68.710083	0.178000	2.323534
68.702795	0.179000	2.336588
68.695505	0.180000	2.349641
68.688216	0.181000	2.362695
68.680925	0.182000	2.375748
68.673634	0.183000	2.388802
68.666343	0.184000	2.401856
68.659052	0.185000	2.414909
68.651759	0.186000	2.427963
68.644467	0.187000	2.441016
68.637174	0.188000	2.454070
68.629880	0.189000	2.467123
68.622586	0.190000	2.480177
68.615291	0.191000	2.493230
68.607996	0.192000	2.506284
68.600701	0.193000	2.519338
68.593405	0.194000	2.532391
68.586108	0.195000	2.545445
68.578811	0.196000	2.558498
68.571514	0.197000	2.571552
68.564216	0.198000	2.584605
68.556918	0.199000	2.597659
68.549619	0.200000	2.610713
68.542319	0.201000	2.623766
68.535020	0.202000	2.636820
68.527719	0.203000	2.649873
68.520418	0.204000	2.662927
68.513117	0.205000	2.675980
68.505815	0.206000	2.689034
68.498513	0.207000	2.702087
68.491211	0.208000	2.715141
68.483907	0.209000	2.728195
68.476604	0.210000	2.741248
68.469300	0.211000	2.754302
68.461995	0.212000	2.767355
68.454690	0.213000	2.780409
68.447384	0.214000	2.793462
68.440078	0.215000	2.806516
68.432772	0.216000	2.819570
68.425465	0.217000	2.832623
68.418157	0.218000	2.845677
68.410849	0.219000	2.858730
68.403541	0.220000	2.871784
68.396232	0.221000	2.884837
68.388922	0.222000	2.897891
68.381613	0.223000	2.910944
68.374302	0.224000	2.923998
68.366991	0.225000	2.937052
68.359680	0.226000	2.950105
68.352368	0.227000	2.963159
68.345056	0.228000	2.976212
68.337743	0.229000	2.989266
68.330430	0.230000	3.002319
68.323116	0.231000	3.015373
68.315802	0.232000	3.028427
68.308487	0.233000	3.041480
68.301172	0.234000	3.054534
68.293856	0.235000	3.067587
68.286540	0.236000	3.080641
68.279224	0.237000	3.093694
68.271906	0.238000	3.106748
68.264589	0.239000	3.119801
68.257271	0.240000	3.132855
68.249952	0.241000	3.145909
68.242633	0.242000	3.158962
68.235314	0.243000	3.172016
68.227994	0.244000	3.185069
68.220673	0.245000	3.198123
68.213352	0.246000	3.211176
68.206031	0.247000	3.224230
68.198709	0.248000	3.237284
68.191386	0.249000	3.250337
68.184064	0.250000	3.263391
68.176740	0.251000	3.276444
68.169416	0.252000	3.289498
68.162092	0.253000	3.302551
68.154767	0.254000	3.315605
68.147442	0.255000	3.328658
68.140116	0.256000	3.341712
68.132790	0.257000	3.354766
68.125463	0.258000	3.367819
68.118136	0.259000	3.380873
68.110808	0.260000	3.393926
68.103480	0.261000	3.406980
68.096151	0.262000	3.420033
68.088822	0.263000	3.433087
68.081492	0.264000	3.446141
68.074162	0.265000	3.459194
68.066832	0.266000	3.472248
68.059500	0.267000	3.485301
68.052169	0.268000	3.498355
68.044837	0.269000	3.511408
68.037504	0.270000	3.524462
68.030171	0.271000	3.537515
68.022838	0.272000	3.550569
68.015503	0.273000	3.563623
68.008169	0.274000	3.576676
68.000834	0.275000	3.589730
67.993498	0.276000	3.602783
67.986163	0.277000	3.615837
67.978826	0.278000	3.628890
67.971489	0.279000	3.641944
67.964152	0.280000	3.654998
67.956814	0.281000	3.668051
67.949475	0.282000	3.681105
67.942137	0.283000	3.694158
67.934797	0.284000	3.707212
67.927457	0.285000	3.720265
67.920117	0.286000	3.733319
67.912776	0.287000	3.746372
67.905435	0.288000	3.759426
67.898093	0.289000	3.772480
67.890751	0.290000	3.785533
67.883408	0.291000	3.798587
67.876065	0.292000	3.811640
67.868721	0.293000	3.824694
67.861377	0.294000	3.837747
67.854032	0.295000	3.850801
67.846687	0.296000	3.863855
67.839341	0.297000	3.876908
67.831995	0.298000	3.889962
67.824648	0.299000	3.903015
67.817301	0.300000	3.916069
67.809953	0.301000	3.929122
67.802605	0.302000	3.942176
67.795257	0.303000	3.955229
67.787907	0.304000	3.968283
67.780558	0.305000	3.981337
67.773208	0.306000	3.994390
67.765857	0.307000	4.007444
67.758506	0.308000	4.020497
67.751155	0.309000	4.033551
67.743803	0.310000	4.046604
67.736450	0.311000	4.059658
67.729097	0.312000	4.072712
67.721743	0.313000	4.085765
67.714389	0.314000	4.098819
67.707035	0.315000	4.111872
67.699680	0.316000	4.124926
67.692325	0.317000	4.137979
