# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 70 MeV
70.000000	0.000000	0.000000
69.925060	0.015000	0.210854
69.850067	0.030000	0.421708
69.775020	0.045000	0.632562
69.699920	0.060000	0.843416
69.624767	0.075000	1.054270
69.549561	0.090000	1.265124
69.474301	0.105000	1.475978
69.398987	0.120000	1.686832
69.323619	0.135000	1.897686
69.248197	0.150000	2.108540
69.172721	0.165000	2.319394
69.097191	0.180000	2.530248
69.021607	0.195000	2.741102
68.945968	0.210000	2.951956
68.870274	0.225000	3.162810
68.794526	0.240000	3.373664
68.718723	0.255000	3.584518
68.642866	0.270000	3.795372
68.566953	0.285000	4.006226
68.490985	0.300000	4.217080
68.414962	0.315000	4.427934
68.338883	0.330000	4.638788
68.262749	0.345000	4.849642
68.186559	0.360000	5.060496
68.110313	0.375000	5.271350
68.034012	0.390000	5.482204
67.957654	0.405000	5.693058
67.881241	0.420000	5.903912
67.804771	0.435000	6.114766
67.728245	0.450000	6.325620
67.651662	0.465000	6.536474
67.575022	0.480000	6.747328
67.498326	0.495000	6.958182
67.421573	0.510000	7.169036
67.344763	0.525000	7.379890
67.267896	0.540000	7.590744
67.190971	0.555000	7.801598
67.113989	0.570000	8.012452
67.036950	0.585000	8.223306
66.959852	0.600000	8.434160
66.882698	0.615000	8.645014
66.805485	0.630000	8.855868
66.728214	0.645000	9.066722
66.650885	0.660000	9.277576
66.573497	0.675000	9.488430
66.496051	0.690000	9.699284
66.418547	0.705000	9.910138
66.340983	0.720000	10.120992
66.263361	0.735000	10.331846
66.185680	0.750000	10.542700
66.107940	0.765000	10.753554
66.030140	0.780000	10.964408
65.952282	0.795000	11.175262
65.874363	0.810000	11.386116
65.796385	0.825000	11.596970
65.718347	0.840000	11.807825
65.640249	0.855000	12.018679
65.562091	0.870000	12.229533
65.483873	0.885000	12.440387
65.405594	0.900000	12.651241
65.327255	0.915000	12.862095
65.248856	0.930000	13.072949
65.170395	0.945000	13.283803
65.091874	0.960000	13.494657
65.013291	0.975000	13.705511
64.934647	0.990000	13.916365
64.855942	1.005000	14.127219
64.777176	1.020000	14.338073
64.698347	1.035000	14.548927
64.619457	1.050000	14.759781
64.540505	1.065000	14.970635
64.461491	1.080000	15.181489
64.382414	1.095000	15.392343
64.303276	1.110000	15.603197
64.224074	1.125000	15.814051
64.144810	1.140000	16.024905
64.065483	1.155000	16.235759
63.986093	1.170000	16.446613
63.906640	1.185000	16.657467
63.827124	1.200000	16.868321
63.747544	1.215000	17.079175
63.667901	1.230000	17.290029
63.588194	1.245000	17.500883
63.508423	1.260000	17.711737
63.428588	1.275000	17.922591
63.348688	1.290000	18.133445
63.268725	1.305000	18.344299
63.188696	1.320000	18.555153
63.108603	1.335000	18.766007
63.028446	1.350000	18.976861
62.948223	1.365000	19.187715
62.867935	1.380000	19.398569
62.787582	1.395000	19.609423
62.707163	1.410000	19.820277
62.626679	1.425000	20.031131
62.546128	1.440000	20.241985
62.465512	1.455000	20.452839
62.384830	1.470000	20.663693
62.304081	1.485000	20.874547
62.223266	1.500000	21.085401
62.142385	1.515000	21.296255
62.061436	1.530000	21.507109
61.980421	1.545000	21.717963
61.899338	1.560000	21.928817
61.818188	1.575000	22.139671
61.736971	1.590000	22.350525
61.655686	1.605000	22.561379
61.574333	1.620000	22.772233
61.492913	1.635000	22.983087
61.411424	1.650000	23.193941
61.329866	1.665000	23.404795
61.248241	1.680000	23.615649
61.166546	1.695000	23.826503
61.084783	1.710000	24.037357
61.002951	1.725000	24.248211
60.921050	1.740000	24.459065
60.839079	1.755000	24.669919
60.757039	1.770000	24.880773
60.674929	1.785000	25.091627
60.592749	1.800000	25.302481
60.510499	1.815000	25.513335
60.428179	1.830000	25.724189
60.345788	1.845000	25.935043
60.263327	1.860000	26.145897
60.180794	1.875000	26.356751
60.098191	1.890000	26.567605
60.015517	1.905000	26.778459
59.932771	1.920000	26.989313
59.849954	1.935000	27.200167
59.767065	1.950000	27.411021
59.684104	1.965000	27.621875
59.601071	1.980000	27.832729
59.517966	1.995000	28.043583
59.434788	2.010000	28.254437
59.351538	2.025000	28.465291
59.268215	2.040000	28.676145
59.184818	2.055000	28.886999
59.101349	2.070000	29.097853
59.017806	2.085000	29.308707
58.934189	2.100000	29.519561
58.850499	2.115000	29.730415
58.766734	2.130000	29.941269
58.682895	2.145000	30.152123
58.598982	2.160000	30.362977
58.514994	2.175000	30.573831
58.430931	2.190000	30.784685
58.346794	2.205000	30.995539
58.262581	2.220000	31.206393
58.178292	2.235000	31.417247
58.093928	2.250000	31.628101
58.009488	2.265000	31.838955
57.924972	2.280000	32.049809
57.840380	2.295000	32.260663
57.755711	2.310000	32.471517
57.670966	2.325000	32.682371
57.586144	2.340000	32.893225
57.501244	2.355000	33.104079
57.416268	2.370000	33.314933
57.331213	2.385000	33.525787
57.246081	2.400000	33.736641
57.160872	2.415000	33.947495
57.075583	2.430000	34.158349
56.990217	2.445000	34.369203
56.904772	2.460000	34.580057
56.819248	2.475000	34.790911
56.733645	2.490000	35.001765
56.647963	2.505000	35.212619
56.562201	2.520000	35.423474
56.476360	2.535000	35.634328
56.390439	2.550000	35.845182
56.304437	2.565000	36.056036
56.218356	2.580000	36.266890
56.132193	2.595000	36.477744
56.045950	2.610000	36.688598
55.959626	2.625000	36.899452
