# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 70 MeV
70.000000	0.000000	0.000000
69.994370	0.001000	0.013054
69.988741	0.002000	0.026107
69.983110	0.003000	0.039161
69.977480	0.004000	0.052214
69.971849	0.005000	0.065268
69.966218	0.006000	0.078321
69.960587	0.007000	0.091375
69.954955	0.008000	0.104429
69.949323	0.009000	0.117482
69.943691	0.010000	0.130536
69.938058	0.011000	0.143589
69.932425	0.012000	0.156643
69.926792	0.013000	0.169696
69.921159	0.014000	0.182750
69.915525	0.015000	0.195803
69.909891	0.016000	0.208857
69.904256	0.017000	0.221911
69.898622	0.018000	0.234964
69.892987	0.019000	0.248018
69.887352	0.020000	0.261071
69.881716	0.021000	0.274125
69.876080	0.022000	0.287178
69.870444	0.023000	0.300232
69.864807	0.024000	0.313286
69.859171	0.025000	0.326339
69.853534	0.026000	0.339393
69.847896	0.027000	0.352446
69.842259	0.028000	0.365500
69.836621	0.029000	0.378553
69.830982	0.030000	0.391607
69.825344	0.031000	0.404660
69.819705	0.032000	0.417714
69.814066	0.033000	0.430768
69.808426	0.034000	0.443821
69.802787	0.035000	0.456875
69.797147	0.036000	0.469928
69.791506	0.037000	0.482982
69.785866	0.038000	0.496035
69.780225	0.039000	0.509089
69.774583	0.040000	0.522143
69.768942	0.041000	0.535196
69.763300	0.042000	0.548250
69.757658	0.043000	0.561303
69.752015	0.044000	0.574357
69.746373	0.045000	0.587410
69.740729	0.046000	0.600464
69.735086	0.047000	0.613517
69.729442	0.048000	0.626571
69.723798	0.049000	0.639625
69.718154	0.050000	0.652678
69.712510	0.051000	0.665732
69.706865	0.052000	0.678785
69.701220	0.053000	0.691839
69.695574	0.054000	0.704892
69.689928	0.055000	0.717946
69.684282	0.056000	0.731000
69.678636	0.057000	0.744053
69.672989	0.058000	0.757107
69.667342	0.059000	0.770160
69.661695	0.060000	0.783214
69.656047	0.061000	0.796267
69.650400	0.062000	0.809321
69.644751	0.063000	0.822374
69.639103	0.064000	0.835428
69.633454	0.065000	0.848482
69.627805	0.066000	0.861535
69.622156	0.067000	0.874589
69.616506	0.068000	0.887642
69.610856	0.069000	0.900696
69.605206	0.070000	0.913749
69.599555	0.071000	0.926803
69.593904	0.072000	0.939857
69.588253	0.073000	0.952910
69.582602	0.074000	0.965964
69.576950	0.075000	0.979017
69.571298	0.076000	0.992071
69.565645	0.077000	1.005124
69.559993	0.078000	1.018178
69.554340	0.079000	1.031231
69.548686	0.080000	1.044285
69.543033	0.081000	1.057339
69.537379	0.082000	1.070392
69.531724	0.083000	1.083446
69.526070	0.084000	1.096499
69.520415	0.085000	1.109553
69.514760	0.086000	1.122606
69.509105	0.087000	1.135660
69.503449	0.088000	1.148714
69.497793	0.089000	1.161767
69.492136	0.090000	1.174821
69.486480	0.091000	1.187874
69.480823	0.092000	1.200928
69.475166	0.093000	1.213981
69.469508	0.094000	1.227035
69.463850	0.095000	1.240088
69.458192	0.096000	1.253142
69.452534	0.097000	1.266196
69.446875	0.098000	1.279249
69.441216	0.099000	1.292303
69.435557	0.100000	1.305356
69.429897	0.101000	1.318410
69.424237	0.102000	1.331463
69.418577	0.103000	1.344517
69.412916	0.104000	1.357571
69.407255	0.105000	1.370624
69.401594	0.106000	1.383678
69.395932	0.107000	1.396731
69.390271	0.108000	1.409785
69.384609	0.109000	1.422838
69.378946	0.110000	1.435892
69.373283	0.111000	1.448945
69.367620	0.112000	1.461999
69.361957	0.113000	1.475053
69.356294	0.114000	1.488106
69.350630	0.115000	1.501160
69.344965	0.116000	1.514213
69.339301	0.117000	1.527267
69.333636	0.118000	1.540320
69.327971	0.119000	1.553374
69.322306	0.120000	1.566428
69.316640	0.121000	1.579481
69.310974	0.122000	1.592535
69.305307	0.123000	1.605588
69.299641	0.124000	1.618642
69.293974	0.125000	1.631695
69.288306	0.126000	1.644749
69.282639	0.127000	1.657802
69.276971	0.128000	1.670856
69.271303	0.129000	1.683910
69.265634	0.130000	1.696963
69.259966	0.131000	1.710017
69.254297	0.132000	1.723070
