# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 70 MeV
70.000000	0.000000	0.000000
69.994370	0.001000	0.009324
69.988741	0.002000	0.018648
69.983110	0.003000	0.027972
69.977480	0.004000	0.037296
69.971849	0.005000	0.046620
69.966218	0.006000	0.055944
69.960587	0.007000	0.065268
69.954955	0.008000	0.074592
69.949323	0.009000	0.083916
69.943691	0.010000	0.093240
69.938058	0.011000	0.102564
69.932425	0.012000	0.111888
69.926792	0.013000	0.121212
69.921159	0.014000	0.130536
69.915525	0.015000	0.139860
69.909891	0.016000	0.149184
69.904256	0.017000	0.158508
69.898622	0.018000	0.167832
69.892987	0.019000	0.177155
69.887352	0.020000	0.186479
69.881716	0.021000	0.195803
69.876080	0.022000	0.205127
69.870444	0.023000	0.214451
69.864807	0.024000	0.223775
69.859171	0.025000	0.233099
69.853534	0.026000	0.242423
69.847896	0.027000	0.251747
69.842259	0.028000	0.261071
69.836621	0.029000	0.270395
69.830982	0.030000	0.279719
69.825344	0.031000	0.289043
69.819705	0.032000	0.298367
69.814066	0.033000	0.307691
69.808426	0.034000	0.317015
69.802787	0.035000	0.326339
69.797147	0.036000	0.335663
69.791506	0.037000	0.344987
69.785866	0.038000	0.354311
69.780225	0.039000	0.363635
69.774583	0.040000	0.372959
69.768942	0.041000	0.382283
69.763300	0.042000	0.391607
69.757658	0.043000	0.400931
69.752015	0.044000	0.410255
69.746373	0.045000	0.419579
69.740729	0.046000	0.428903
69.735086	0.047000	0.438227
69.729442	0.048000	0.447551
69.723798	0.049000	0.456875
69.718154	0.050000	0.466199
69.712510	0.051000	0.475523
69.706865	0.052000	0.484847
69.701220	0.053000	0.494171
69.695574	0.054000	0.503495
69.689928	0.055000	0.512819
69.684282	0.056000	0.522143
69.678636	0.057000	0.531466
69.672989	0.058000	0.540790
69.667342	0.059000	0.550114
69.661695	0.060000	0.559438
69.656047	0.061000	0.568762
69.650400	0.062000	0.578086
69.644751	0.063000	0.587410
69.639103	0.064000	0.596734
69.633454	0.065000	0.606058
69.627805	0.066000	0.615382
69.622156	0.067000	0.624706
69.616506	0.068000	0.634030
69.610856	0.069000	0.643354
69.605206	0.070000	0.652678
69.599555	0.071000	0.662002
69.593904	0.072000	0.671326
69.588253	0.073000	0.680650
69.582602	0.074000	0.689974
69.576950	0.075000	0.699298
69.571298	0.076000	0.708622
69.565645	0.077000	0.717946
69.559993	0.078000	0.727270
69.554340	0.079000	0.736594
69.548686	0.080000	0.745918
69.543033	0.081000	0.755242
69.537379	0.082000	0.764566
69.531724	0.083000	0.773890
69.526070	0.084000	0.783214
69.520415	0.085000	0.792538
69.514760	0.086000	0.801862
69.509105	0.087000	0.811186
69.503449	0.088000	0.820510
69.497793	0.089000	0.829834
69.492136	0.090000	0.839158
69.486480	0.091000	0.848482
69.480823	0.092000	0.857806
69.475166	0.093000	0.867130
69.469508	0.094000	0.876453
69.463850	0.095000	0.885777
69.458192	0.096000	0.895101
69.452534	0.097000	0.904425
69.446875	0.098000	0.913749
69.441216	0.099000	0.923073
69.435557	0.100000	0.932397
69.429897	0.101000	0.941721
69.424237	0.102000	0.951045
69.418577	0.103000	0.960369
69.412916	0.104000	0.969693
69.407255	0.105000	0.979017
69.401594	0.106000	0.988341
69.395932	0.107000	0.997665
69.390271	0.108000	1.006989
69.384609	0.109000	1.016313
69.378946	0.110000	1.025637
69.373283	0.111000	1.034961
69.367620	0.112000	1.044285
69.361957	0.113000	1.053609
69.356294	0.114000	1.062933
69.350630	0.115000	1.072257
69.344965	0.116000	1.081581
69.339301	0.117000	1.090905
69.333636	0.118000	1.100229
69.327971	0.119000	1.109553
69.322306	0.120000	1.118877
69.316640	0.121000	1.128201
69.310974	0.122000	1.137525
69.305307	0.123000	1.146849
69.299641	0.124000	1.156173
69.293974	0.125000	1.165497
69.288306	0.126000	1.174821
69.282639	0.127000	1.184145
69.276971	0.128000	1.193469
69.271303	0.129000	1.202793
69.265634	0.130000	1.212117
69.259966	0.131000	1.221441
69.254297	0.132000	1.230764
69.248627	0.133000	1.240088
69.242957	0.134000	1.249412
69.237287	0.135000	1.258736
69.231617	0.136000	1.268060
69.225946	0.137000	1.277384
69.220276	0.138000	1.286708
69.214604	0.139000	1.296032
69.208933	0.140000	1.305356
69.203261	0.141000	1.314680
69.197589	0.142000	1.324004
69.191916	0.143000	1.333328
69.186244	0.144000	1.342652
69.180571	0.145000	1.351976
69.174897	0.146000	1.361300
69.169224	0.147000	1.370624
69.163550	0.148000	1.379948
69.157875	0.149000	1.389272
69.152201	0.150000	1.398596
69.146526	0.151000	1.407920
69.140851	0.152000	1.417244
69.135175	0.153000	1.426568
