# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 20 MeV
20.000000	0.000000	0.000000
19.999973	0.001000	0.009324
19.999946	0.002000	0.018648
19.999918	0.003000	0.027972
19.999891	0.004000	0.037296
19.999864	0.005000	0.046620
19.999837	0.006000	0.055944
19.999810	0.007000	0.065268
19.999782	0.008000	0.074592
19.999755	0.009000	0.083916
19.999728	0.010000	0.093240
19.999701	0.011000	0.102564
19.999674	0.012000	0.111888
19.999646	0.013000	0.121212
19.999619	0.014000	0.130536
19.999592	0.015000	0.139860
19.999565	0.016000	0.149184
19.999538	0.017000	0.158508
19.999510	0.018000	0.167832
19.999483	0.019000	0.177155
19.999456	0.020000	0.186479
19.999429	0.021000	0.195803
19.999402	0.022000	0.205127
19.999374	0.023000	0.214451
19.999347	0.024000	0.223775
19.999320	0.025000	0.233099
19.999293	0.026000	0.242423
19.999266	0.027000	0.251747
19.999238	0.028000	0.261071
19.999211	0.029000	0.270395
19.999184	0.030000	0.279719
19.999157	0.031000	0.289043
19.999130	0.032000	0.298367
19.999102	0.033000	0.307691
19.999075	0.034000	0.317015
19.999048	0.035000	0.326339
19.999021	0.036000	0.335663
19.998994	0.037000	0.344987
19.998966	0.038000	0.354311
19.998939	0.039000	0.363635
19.998912	0.040000	0.372959
19.998885	0.041000	0.382283
19.998858	0.042000	0.391607
19.998830	0.043000	0.400931
19.998803	0.044000	0.410255
19.998776	0.045000	0.419579
19.998749	0.046000	0.428903
19.998721	0.047000	0.438227
19.998694	0.048000	0.447551
19.998667	0.049000	0.456875
19.998640	0.050000	0.466199
19.998613	0.051000	0.475523
19.998585	0.052000	0.484847
19.998558	0.053000	0.494171
19.998531	0.054000	0.503495
19.998504	0.055000	0.512819
19.998477	0.056000	0.522143
19.998449	0.057000	0.531466
19.998422	0.058000	0.540790
19.998395	0.059000	0.550114
19.998368	0.060000	0.559438
19.998341	0.061000	0.568762
19.998313	0.062000	0.578086
19.998286	0.063000	0.587410
19.998259	0.064000	0.596734
19.998232	0.065000	0.606058
19.998205	0.066000	0.615382
19.998177	0.067000	0.624706
19.998150	0.068000	0.634030
19.998123	0.069000	0.643354
19.998096	0.070000	0.652678
19.998069	0.071000	0.662002
19.998041	0.072000	0.671326
19.998014	0.073000	0.680650
19.997987	0.074000	0.689974
19.997960	0.075000	0.699298
19.997933	0.076000	0.708622
19.997905	0.077000	0.717946
19.997878	0.078000	0.727270
19.997851	0.079000	0.736594
19.997824	0.080000	0.745918
19.997797	0.081000	0.755242
19.997769	0.082000	0.764566
19.997742	0.083000	0.773890
19.997715	0.084000	0.783214
19.997688	0.085000	0.792538
19.997661	0.086000	0.801862
19.997633	0.087000	0.811186
19.997606	0.088000	0.820510
19.997579	0.089000	0.829834
19.997552	0.090000	0.839158
19.997525	0.091000	0.848482
19.997497	0.092000	0.857806
19.997470	0.093000	0.867130
19.997443	0.094000	0.876453
19.997416	0.095000	0.885777
19.997389	0.096000	0.895101
19.997361	0.097000	0.904425
19.997334	0.098000	0.913749
19.997307	0.099000	0.923073
19.997280	0.100000	0.932397
19.997252	0.101000	0.941721
19.997225	0.102000	0.951045
19.997198	0.103000	0.960369
19.997171	0.104000	0.969693
19.997144	0.105000	0.979017
19.997116	0.106000	0.988341
19.997089	0.107000	0.997665
19.997062	0.108000	1.006989
19.997035	0.109000	1.016313
19.997008	0.110000	1.025637
19.996980	0.111000	1.034961
19.996953	0.112000	1.044285
19.996926	0.113000	1.053609
19.996899	0.114000	1.062933
19.996872	0.115000	1.072257
19.996844	0.116000	1.081581
19.996817	0.117000	1.090905
19.996790	0.118000	1.100229
19.996763	0.119000	1.109553
19.996736	0.120000	1.118877
19.996708	0.121000	1.128201
19.996681	0.122000	1.137525
19.996654	0.123000	1.146849
19.996627	0.124000	1.156173
19.996600	0.125000	1.165497
19.996572	0.126000	1.174821
19.996545	0.127000	1.184145
19.996518	0.128000	1.193469
19.996491	0.129000	1.202793
19.996464	0.130000	1.212117
19.996436	0.131000	1.221441
19.996409	0.132000	1.230764
19.996382	0.133000	1.240088
19.996355	0.134000	1.249412
19.996328	0.135000	1.258736
19.996300	0.136000	1.268060
19.996273	0.137000	1.277384
19.996246	0.138000	1.286708
19.996219	0.139000	1.296032
19.996191	0.140000	1.305356
19.996164	0.141000	1.314680
19.996137	0.142000	1.324004
19.996110	0.143000	1.333328
19.996083	0.144000	1.342652
19.996055	0.145000	1.351976
19.996028	0.146000	1.361300
19.996001	0.147000	1.370624
19.995974	0.148000	1.379948
19.995947	0.149000	1.389272
19.995919	0.150000	1.398596
19.995892	0.151000	1.407920
19.995865	0.152000	1.417244
19.995838	0.153000	1.426568
19.995811	0.154000	1.435892
19.995783	0.155000	1.445216
19.995756	0.156000	1.454540
19.995729	0.157000	1.463864
19.995702	0.158000	1.473188
19.995675	0.159000	1.482512
19.995647	0.160000	1.491836
19.995620	0.161000	1.501160
19.995593	0.162000	1.510484
19.995566	0.163000	1.519808
19.995539	0.164000	1.529132
19.995511	0.165000	1.538456
19.995484	0.166000	1.547780
19.995457	0.167000	1.557104
19.995430	0.168000	1.566428
19.995402	0.169000	1.575751
19.995375	0.170000	1.585075
19.995348	0.171000	1.594399
19.995321	0.172000	1.603723
19.995294	0.173000	1.613047
19.995266	0.174000	1.622371
19.995239	0.175000	1.631695
19.995212	0.176000	1.641019
19.995185	0.177000	1.650343
19.995158	0.178000	1.659667
19.995130	0.179000	1.668991
19.995103	0.180000	1.678315
19.995076	0.181000	1.687639
19.995049	0.182000	1.696963
19.995022	0.183000	1.706287
19.994994	0.184000	1.715611
19.994967	0.185000	1.724935
19.994940	0.186000	1.734259
19.994913	0.187000	1.743583
19.994886	0.188000	1.752907
19.994858	0.189000	1.762231
19.994831	0.190000	1.771555
19.994804	0.191000	1.780879
19.994777	0.192000	1.790203
19.994750	0.193000	1.799527
19.994722	0.194000	1.808851
19.994695	0.195000	1.818175
19.994668	0.196000	1.827499
19.994641	0.197000	1.836823
19.994613	0.198000	1.846147
19.994586	0.199000	1.855471
19.994559	0.200000	1.864795
19.994532	0.201000	1.874119
19.994505	0.202000	1.883443
19.994477	0.203000	1.892767
19.994450	0.204000	1.902091
19.994423	0.205000	1.911415
19.994396	0.206000	1.920739
19.994369	0.207000	1.930062
19.994341	0.208000	1.939386
19.994314	0.209000	1.948710
19.994287	0.210000	1.958034
19.994260	0.211000	1.967358
19.994233	0.212000	1.976682
19.994205	0.213000	1.986006
19.994178	0.214000	1.995330
19.994151	0.215000	2.004654
19.994124	0.216000	2.013978
19.994097	0.217000	2.023302
19.994069	0.218000	2.032626
19.994042	0.219000	2.041950
19.994015	0.220000	2.051274
19.993988	0.221000	2.060598
19.993960	0.222000	2.069922
19.993933	0.223000	2.079246
19.993906	0.224000	2.088570
19.993879	0.225000	2.097894
19.993852	0.226000	2.107218
19.993824	0.227000	2.116542
19.993797	0.228000	2.125866
19.993770	0.229000	2.135190
19.993743	0.230000	2.144514
19.993716	0.231000	2.153838
19.993688	0.232000	2.163162
19.993661	0.233000	2.172486
19.993634	0.234000	2.181810
19.993607	0.235000	2.191134
19.993580	0.236000	2.200458
19.993552	0.237000	2.209782
19.993525	0.238000	2.219106
19.993498	0.239000	2.228430
19.993471	0.240000	2.237754
19.993444	0.241000	2.247078
19.993416	0.242000	2.256402
19.993389	0.243000	2.265726
19.993362	0.244000	2.275049
19.993335	0.245000	2.284373
19.993307	0.246000	2.293697
19.993280	0.247000	2.303021
19.993253	0.248000	2.312345
19.993226	0.249000	2.321669
19.993199	0.250000	2.330993
19.993171	0.251000	2.340317
19.993144	0.252000	2.349641
19.993117	0.253000	2.358965
19.993090	0.254000	2.368289
19.993063	0.255000	2.377613
19.993035	0.256000	2.386937
19.993008	0.257000	2.396261
19.992981	0.258000	2.405585
19.992954	0.259000	2.414909
