# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 30 MeV
30.000000	0.000000	0.000000
29.999518	0.025000	0.251017
29.999035	0.050000	0.502033
29.998553	0.075000	0.753050
29.998070	0.100000	1.004067
29.997588	0.125000	1.255083
29.997105	0.150000	1.506100
29.996622	0.175000	1.757117
29.996140	0.200000	2.008133
29.995657	0.225000	2.259150
29.995175	0.250000	2.510167
29.994692	0.275000	2.761183
29.994210	0.300000	3.012200
29.993727	0.325000	3.263217
29.993245	0.350000	3.514233
29.992762	0.375000	3.765250
29.992279	0.400000	4.016267
29.991797	0.425000	4.267284
29.991314	0.450000	4.518300
29.990832	0.475000	4.769317
29.990349	0.500000	5.020334
29.989867	0.525000	5.271350
29.989384	0.550000	5.522367
29.988901	0.575000	5.773384
29.988419	0.600000	6.024400
29.987936	0.625000	6.275417
29.987453	0.650000	6.526434
29.986971	0.675000	6.777450
29.986488	0.700000	7.028467
29.986005	0.725000	7.279484
29.985523	0.750000	7.530500
29.985040	0.775000	7.781517
29.984557	0.800000	8.032534
29.984075	0.825000	8.283550
29.983592	0.850000	8.534567
29.983109	0.875000	8.785584
29.982627	0.900000	9.036600
29.982144	0.925000	9.287617
29.981661	0.950000	9.538634
29.981179	0.975000	9.789650
29.980696	1.000000	10.040667
29.980213	1.025000	10.291684
29.979730	1.050000	10.542700
29.979248	1.075000	10.793717
29.978765	1.100000	11.044734
29.978282	1.125000	11.295750
29.977799	1.150000	11.546767
29.977317	1.175000	11.797784
29.976834	1.200000	12.048801
29.976351	1.225000	12.299817
29.975868	1.250000	12.550834
29.975386	1.275000	12.801851
29.974903	1.300000	13.052867
29.974420	1.325000	13.303884
29.973937	1.350000	13.554901
29.973454	1.375000	13.805917
29.972972	1.400000	14.056934
29.972489	1.425000	14.307951
29.972006	1.450000	14.558967
29.971523	1.475000	14.809984
29.971040	1.500000	15.061001
29.970557	1.525000	15.312017
29.970075	1.550000	15.563034
29.969592	1.575000	15.814051
29.969109	1.600000	16.065067
29.968626	1.625000	16.316084
29.968143	1.650000	16.567101
29.967660	1.675000	16.818117
29.967177	1.700000	17.069134
29.966695	1.725000	17.320151
29.966212	1.750000	17.571167
29.965729	1.775000	17.822184
29.965246	1.800000	18.073201
29.964763	1.825000	18.324217
29.964280	1.850000	18.575234
29.963797	1.875000	18.826251
29.963314	1.900000	19.077267
29.962831	1.925000	19.328284
29.962348	1.950000	19.579301
29.961865	1.975000	19.830318
29.961382	2.000000	20.081334
29.960899	2.025000	20.332351
29.960416	2.050000	20.583368
29.959933	2.075000	20.834384
29.959451	2.100000	21.085401
29.958968	2.125000	21.336418
29.958485	2.150000	21.587434
29.958002	2.175000	21.838451
29.957519	2.200000	22.089468
29.957036	2.225000	22.340484
29.956553	2.250000	22.591501
29.956069	2.275000	22.842518
29.955586	2.300000	23.093534
29.955103	2.325000	23.344551
29.954620	2.350000	23.595568
29.954137	2.375000	23.846584
29.953654	2.400000	24.097601
29.953171	2.425000	24.348618
29.952688	2.450000	24.599634
29.952205	2.475000	24.850651
29.951722	2.500000	25.101668
29.951239	2.525000	25.352684
29.950756	2.550000	25.603701
29.950273	2.575000	25.854718
29.949790	2.600000	26.105734
29.949307	2.625000	26.356751
29.948824	2.650000	26.607768
29.948340	2.675000	26.858784
29.947857	2.700000	27.109801
29.947374	2.725000	27.360818
29.946891	2.750000	27.611835
29.946408	2.775000	27.862851
29.945925	2.800000	28.113868
29.945442	2.825000	28.364885
29.944958	2.850000	28.615901
29.944475	2.875000	28.866918
29.943992	2.900000	29.117935
29.943509	2.925000	29.368951
29.943026	2.950000	29.619968
29.942543	2.975000	29.870985
29.942059	3.000000	30.122001
29.941576	3.025000	30.373018
29.941093	3.050000	30.624035
29.940610	3.075000	30.875051
29.940127	3.100000	31.126068
29.939643	3.125000	31.377085
29.939160	3.150000	31.628101
29.938677	3.175000	31.879118
29.938194	3.200000	32.130135
29.937710	3.225000	32.381151
29.937227	3.250000	32.632168
29.936744	3.275000	32.883185
29.936261	3.300000	33.134201
29.935777	3.325000	33.385218
29.935294	3.350000	33.636235
29.934811	3.375000	33.887251
29.934328	3.400000	34.138268
29.933844	3.425000	34.389285
29.933361	3.450000	34.640301
29.932878	3.475000	34.891318
29.932394	3.500000	35.142335
29.931911	3.525000	35.393352
29.931428	3.550000	35.644368
29.930944	3.575000	35.895385
29.930461	3.600000	36.146402
29.929978	3.625000	36.397418
29.929494	3.650000	36.648435
29.929011	3.675000	36.899452
29.928528	3.700000	37.150468
29.928044	3.725000	37.401485
29.927561	3.750000	37.652502
29.927078	3.775000	37.903518
29.926594	3.800000	38.154535
29.926111	3.825000	38.405552
29.925627	3.850000	38.656568
29.925144	3.875000	38.907585
29.924661	3.900000	39.158602
29.924177	3.925000	39.409618
29.923694	3.950000	39.660635
29.923210	3.975000	39.911652
29.922727	4.000000	40.162668
29.922243	4.025000	40.413685
29.921760	4.050000	40.664702
29.921277	4.075000	40.915718
29.920793	4.100000	41.166735
29.920310	4.125000	41.417752
29.919826	4.150000	41.668768
29.919343	4.175000	41.919785
29.918859	4.200000	42.170802
29.918376	4.225000	42.421818
29.917892	4.250000	42.672835
29.917409	4.275000	42.923852
29.916925	4.300000	43.174869
29.916442	4.325000	43.425885
29.915958	4.350000	43.676902
29.915475	4.375000	43.927919
29.914991	4.400000	44.178935
29.914508	4.425000	44.429952
29.914024	4.450000	44.680969
29.913541	4.475000	44.931985
29.913057	4.500000	45.183002
29.912574	4.525000	45.434019
29.912090	4.550000	45.685035
29.911606	4.575000	45.936052
29.911123	4.600000	46.187069
29.910639	4.625000	46.438085
29.910156	4.650000	46.689102
29.909672	4.675000	46.940119
29.909188	4.700000	47.191135
29.908705	4.725000	47.442152
29.908221	4.750000	47.693169
29.907738	4.775000	47.944185
29.907254	4.800000	48.195202
29.906770	4.825000	48.446219
29.906287	4.850000	48.697235
29.905803	4.875000	48.948252
29.905320	4.900000	49.199269
29.904836	4.925000	49.450285
29.904352	4.950000	49.701302
29.903869	4.975000	49.952319
29.903385	5.000000	50.203335
29.902901	5.025000	50.454352
29.902418	5.050000	50.705369
29.901934	5.075000	50.956386
29.901450	5.100000	51.207402
29.900966	5.125000	51.458419
29.900483	5.150000	51.709436
29.899999	5.175000	51.960452
29.899515	5.200000	52.211469
29.899032	5.225000	52.462486
29.898548	5.250000	52.713502
29.898064	5.275000	52.964519
29.897580	5.300000	53.215536
29.897097	5.325000	53.466552
29.896613	5.350000	53.717569
29.896129	5.375000	53.968586
29.895645	5.400000	54.219602
29.895162	5.425000	54.470619
29.894678	5.450000	54.721636
29.894194	5.475000	54.972652
29.893710	5.500000	55.223669
29.893227	5.525000	55.474686
29.892743	5.550000	55.725702
29.892259	5.575000	55.976719
29.891775	5.600000	56.227736
29.891291	5.625000	56.478752
29.890807	5.650000	56.729769
29.890324	5.675000	56.980786
29.889840	5.700000	57.231802
29.889356	5.725000	57.482819
29.888872	5.750000	57.733836
29.888388	5.775000	57.984852
29.887904	5.800000	58.235869
29.887421	5.825000	58.486886
29.886937	5.850000	58.737903
29.886453	5.875000	58.988919
29.885969	5.900000	59.239936
29.885485	5.925000	59.490953
29.885001	5.950000	59.741969
29.884517	5.975000	59.992986
29.884033	6.000000	60.244003
29.883549	6.025000	60.495019
29.883066	6.050000	60.746036
29.882582	6.075000	60.997053
29.882098	6.100000	61.248069
29.881614	6.125000	61.499086
29.881130	6.150000	61.750103
29.880646	6.175000	62.001119
29.880162	6.200000	62.252136
29.879678	6.225000	62.503153
29.879194	6.250000	62.754169
29.878710	6.275000	63.005186
29.878226	6.300000	63.256203
29.877742	6.325000	63.507219
29.877258	6.350000	63.758236
29.876774	6.375000	64.009253
29.876290	6.400000	64.260269
29.875806	6.425000	64.511286
29.875322	6.450000	64.762303
29.874838	6.475000	65.013319
29.874354	6.500000	65.264336
29.873870	6.525000	65.515353
29.873386	6.550000	65.766369
29.872902	6.575000	66.017386
29.872418	6.600000	66.268403
29.871934	6.625000	66.519420
29.871450	6.650000	66.770436
29.870966	6.675000	67.021453
29.870482	6.700000	67.272470
29.869998	6.725000	67.523486
29.869513	6.750000	67.774503
29.869029	6.775000	68.025520
29.868545	6.800000	68.276536
29.868061	6.825000	68.527553
29.867577	6.850000	68.778570
29.867093	6.875000	69.029586
29.866609	6.900000	69.280603
29.866125	6.925000	69.531620
29.865641	6.950000	69.782636
29.865156	6.975000	70.033653
29.864672	7.000000	70.284670
29.864188	7.025000	70.535686
29.863704	7.050000	70.786703
29.863220	7.075000	71.037720
29.862736	7.100000	71.288736
29.862252	7.125000	71.539753
29.861767	7.150000	71.790770
29.861283	7.175000	72.041786
29.860799	7.200000	72.292803
29.860315	7.225000	72.543820
29.859831	7.250000	72.794836
29.859346	7.275000	73.045853
29.858862	7.300000	73.296870
29.858378	7.325000	73.547886
29.857894	7.350000	73.798903
29.857409	7.375000	74.049920
29.856925	7.400000	74.300936
29.856441	7.425000	74.551953
29.855957	7.450000	74.802970
29.855472	7.475000	75.053987
29.854988	7.500000	75.305003
29.854504	7.525000	75.556020
29.854020	7.550000	75.807037
29.853535	7.575000	76.058053
29.853051	7.600000	76.309070
29.852567	7.625000	76.560087
29.852083	7.650000	76.811103
29.851598	7.675000	77.062120
29.851114	7.700000	77.313137
29.850630	7.725000	77.564153
29.850145	7.750000	77.815170
29.849661	7.775000	78.066187
29.849177	7.800000	78.317203
29.848692	7.825000	78.568220
29.848208	7.850000	78.819237
29.847724	7.875000	79.070253
29.847239	7.900000	79.321270
29.846755	7.925000	79.572287
29.846270	7.950000	79.823303
29.845786	7.975000	80.074320
29.845302	8.000000	80.325337
29.844817	8.025000	80.576353
29.844333	8.050000	80.827370
29.843849	8.075000	81.078387
29.843364	8.100000	81.329403
29.842880	8.125000	81.580420
29.842395	8.150000	81.831437
29.841911	8.175000	82.082453
29.841426	8.200000	82.333470
29.840942	8.225000	82.584487
29.840458	8.250000	82.835504
29.839973	8.275000	83.086520
29.839489	8.300000	83.337537
29.839004	8.325000	83.588554
29.838520	8.350000	83.839570
29.838035	8.375000	84.090587
29.837551	8.400000	84.341604
29.837066	8.425000	84.592620
29.836582	8.450000	84.843637
29.836097	8.475000	85.094654
29.835613	8.500000	85.345670
29.835128	8.525000	85.596687
29.834644	8.550000	85.847704
29.834159	8.575000	86.098720
29.833675	8.600000	86.349737
29.833190	8.625000	86.600754
29.832706	8.650000	86.851770
29.832221	8.675000	87.102787
29.831737	8.700000	87.353804
29.831252	8.725000	87.604820
29.830768	8.750000	87.855837
29.830283	8.775000	88.106854
29.829798	8.800000	88.357870
29.829314	8.825000	88.608887
29.828829	8.850000	88.859904
29.828345	8.875000	89.110920
29.827860	8.900000	89.361937
29.827375	8.925000	89.612954
29.826891	8.950000	89.863970
29.826406	8.975000	90.114987
29.825922	9.000000	90.366004
29.825437	9.025000	90.617021
29.824952	9.050000	90.868037
29.824468	9.075000	91.119054
29.823983	9.100000	91.370071
29.823498	9.125000	91.621087
29.823014	9.150000	91.872104
29.822529	9.175000	92.123121
29.822044	9.200000	92.374137
29.821560	9.225000	92.625154
29.821075	9.250000	92.876171
29.820590	9.275000	93.127187
29.820106	9.300000	93.378204
29.819621	9.325000	93.629221
29.819136	9.350000	93.880237
29.818652	9.375000	94.131254
29.818167	9.400000	94.382271
29.817682	9.425000	94.633287
29.817197	9.450000	94.884304
29.816713	9.475000	95.135321
29.816228	9.500000	95.386337
