#Histogram Number	Slope	Intercept
#Histogram Number	Slope	Intercept
0	0.931015	-1.35431
1	1	-1.87356e-10
2	0.964185	1.49989
3	0.92638	-1.30621
4	0.905569	1.00834
5	0.901182	0.470903
6	0.853932	3.32687
7	0.942785	1.08887
8	0.878904	-0.0107433
9	0.922662	-2.32259
10	0.903343	8.38332
11	0.914227	6.56108
12	0.961008	23.0982
13	0.920976	5.22104
14	0.936584	31.5073
15	0.959044	5.43267
16	0.95263	-0.404053
17	0.90953	4.82833
18	0.940277	10.3629
19	0.86746	-17.8678
20	1.00683	4.76371
21	0.968342	-43.9496
22	0.892882	-32.0742
23	0.933615	1.10704
24	1	-2.89219e-10
25	0.942098	-0.105169
26	0.980862	-0.732032
27	0.982975	-2.22704
28	0.978815	-1.51477
29	0.965245	-2.19515
30	0.945384	-0.892599
31	0.977408	-0.908592
32	0.919546	3.25464
33	0.972194	2.44956
34	0.92852	5.44745
35	0.947098	1.40531
36	0.875491	-1.13145
37	1	0
38	0.970862	2.86019
39	1	0
40	0.91793	-3.80615
41	0.913897	-2.12964
42	0.954014	-0.760604
43	0.993616	-1.40278
44	1	0
45	0.926169	-21.2016
46	1.00577	-2.14281
47	0.943312	-1.26464
